"from","to","quote","chain_id","attribution","domain","statement_id"
15,50,"I sowed vegetable seed that I got from Send A-Cow  Organization. It grew very well but I did not continue cultivating it because I was busy doing other things and my children are not grown up enough to help me and my husband too engaged in his works...Vegetable seed is useful but I stopped.",72,"1","Farming and Food",53
5,83,"The production decreased over the past three years may be because of weather change and rainfall related problems.",73,"6","Farming and Food",53
23,88,"Because our grazing land is taken by electricity station and school expansion, I sold all animals I had and remained only with one milked cow.",74,"6","Farming and Food",53
8,72,"Following the training from agricultural extension workers, I engaged in poultry and benefited highly from it. Poultry is different from what the rest of neighbours doing. I didn't produce anything for sale. I did never do that before even, because the production did not surpass home consumption. Previously, there were times when we did not eat our lunch after breakfast but now it is better. Now people can eat three times a day by doing anything including labour works. Now it is becoming better. I myself now can eat three times a day but previously I was struggling. I used to pass a day without any meal before. Now though there is scarcity of grain, people have money. What is your staple food? We use different products of false banana or inset from which  we prepare traditional foods such as blanduwa, uncha bacira. And also we use traditional foods such as boyna (yam) and sweat potato.",75,"3","Farming and Food",53
42,52,NA,76,"5","Farming and Food",54
31,51,"Income based on labour work has increased compared to what it had been before. It is because the price of commodities has increased, the wage for labour has also increased.",77,"5","Income from other sources",55
8,72,"In the past three years I have engaged in poultry production to earn income. 'Why did you begin it?'. The agricultural extension workers advised me to do so. [I have received income from selling of milk and engaged in poultry production that supports my family's income.]",78,"3","Income from other sources",55
31,90,"The household expenditure has increased in the past three years. The reason is because price for purchasing grain has increased. The main thing that we spend money on is to purchase grain.",79,"6","Expenditure and Savings",56
21,56,"It is Send A Cow organization that is doing well in terms of saving. They are helping the community to own different cattle and also provide drinking water services. Others organizations stopped and the money saved become useless. Send A cow organization is benefitting us very much.",80,"1","Expenditure and Savings",56
14,48,"It is Send A Cow organization that is doing well in terms of saving. They are helping the community to own different cattle and also provide drinking water services. Others organizations stopped and the money saved become useless. Send A cow organization is benefitting us very much.",81,"1","Expenditure and Savings",56
13,48,"It is Send A Cow organization that is doing well in terms of saving. They are helping the community to own different cattle and also provide drinking water services. Others organizations stopped and the money saved become useless. Send A cow organization is benefitting us very much.",82,"1","Expenditure and Savings",56
34,75,"My ability to control and decide over property has increased. For instance, previously it was my husband who was a sole decider regarding properties and other household matters but now we consult each other. The reason is because the government protects women's rights. Now women have right and can own property, and generate income and manage their money. Previously, the men said that 'the women shouldn't manage more than 100ETB'",83,"5","Relationships (Household)",57
34,48,"[The reason is because the government protects women's rights.] Due to my improved livelihood and support from government.",84,"5","Relationships (Household)",58
20,64,NA,85,"5","Relationships (Community)",59
9,56,"It is becoming better. For instance, the government provide training about saving. As a result many people began to save their money. People have become wise. [Send a Cow - promoting saving.]",86,"3","Overall Wellbeing",60
23,88,"Our capacity to own animals also decreased due to the loss of the common grazing land. As I am poor I own cattle in share with other rich people (engaged in share-rearing). However, the share holders took back their cattle due to scarcity of common grazing land. I wish I could rear my own but now I don't because I don't have money to buy any. [Income worse due to declining productivity of farming and lack of ox to plough.]",87,"6","Farming and Food",61
24,51,NA,88,"5","Farming and Food",62
24,51,NA,89,"5","Farming and Food",62
20,64,NA,90,"5","Relationships (Community)",63
13,47,"We have access to tap water and also we have well water in front of our house. I dug the well water but an organization called Send A Cow came and cemented it. The well water is used for sanitation and animals. For drinking water we use tap water.",91,"1","Health and Education",64
5,83,"I have small farm land. Even though I plough, its production has decreased  over the last three years. I don't know whether it is related to the problem of rainfall. I sowed different crops but they all failed. The production of farming is decreasing. Previously we used to grow corn and it used to yield good results. I also planted sweet potato, it also used to give good production, but through time both have decreased.",92,"6","Farming and Food",65
15,84,"Send A Cow organization distributed us some seeds of vegetables. I sowed it and tried to water it using the well water but it did not grow. I do not know whether this is related to the problem of the seed. Before that I had cultivated cabbage and carrot but it failed. Fruit cultivation also did not work out. We don't own cattle as we used to own before. I had an ox and two cows but I sold them. I used the money to build a house for my child in Wollayita Sodo. Some remaining animals are still under my possession.",93,"2","Farming and Food",65
42,51,NA,94,"5","Income from other sources",66
33,87,NA,95,"6","Income from other sources",67
21,56,"I have a saving at neighbourhood basis that is to be used for schooling of children, their clothing and to be used for meskel festivity. I started saving this year.",96,"5","Expenditure and Savings",68
3,90,NA,97,"6","Expenditure and Savings",69
36,64,NA,98,"5","Relationships (Community)",70
7,43,"Thank God, our health situation has improved over the last three years. It is because we keep our sanitation and hygiene well. We also treat our children properly. We eat our meals on time. We keep sanitation of children and environment. Health extension workers trained us to do so.",99,"3","Health and Education",71
42,59,"We have no farm land.  My husband has another activity to do and also I engage in petty merchandise activity. Totally we have no farm land. We used to plant boyna (yam) which would not exceed one month consumption and we also used to cultivate cabbage in our backyard. Now it is better than before because we hustle to have variety of food.  Previously, we used to eat one type of food frequently. We frequently used to eat sweet potato and boyna (yam). However, now we diversify and eat potato, corn and wheat flour and also cabbage alternatively. What we eat now is better than what it was before.",100,"5","Farming and Food",72
5,83,NA,101,"6","Farming and Food",73
42,51,NA,102,"6","Farming and Food",74
42,51,"Using the income from my husband that he earned working as a foreman and from my petty trading, we bought a Bajaj vehicle. Now my husband generates income from the Bajaj vehicle.",103,"6","Income from other sources",75
2,90,NA,104,"6","Income from other sources",76
22,53,"[Using the income from my husband that he earned working as a foreman and from my petty trading, we bought a Bajaj vehicle.] What we have now is Bajaj and calf that we have possessed in the last three years.",105,"5","Expenditure and Savings",77
33,90,NA,106,"6","Expenditure and Savings",78
20,64,"People are developing good attitudes towards cooperative working. We have already school for our community. We do have also tap water in the kebele compound though it is at distant for us. Thus, we drink pump water that is near to us. They [kebele officials] organized  30 adjacent households as one team having one leader. This further formed a group of 1-5 network.",107,"5","Relationships (Community)",79
7,70,NA,108,"3","Overall Wellbeing",80
6,83,"Farming is not as rewarding as it used to be. Farmers are losing rather than gaining. The land does not yield good result as before. The production even reduced from what it had been before. Moreover, the soil fertility also decreased.",109,"6","Farming and Food",81
1,103,"I am sharecropped out my land. As my husband is not with me I cannot cultivate because I am a woman. The problem with sharecropping is that these who share with me come late. They come to plough the land late after they have already ploughed their own. This leads to less production at the end of the day. Had we cultivated timely it could give us good production. The production is even reduced from what it had been before. The sharecroppers have no sense of ownership. I did never sale farm products. Even it is not sufficient for my home consumption. Previously we used to eat meat, cottage cheese, and butter. But now we don't. Women cannot afford to eat meat with absence of men's or husbands' financial support.",110,"6","Farming and Food",81
26,101,"I am sharecropped out my land. As my husband is not with me I cannot cultivate because I am a woman. The problem with sharecropping is that these who share with me come late. They come to plough the land late after they have already ploughed their own. This leads to less production at the end of the day. Had we cultivated timely it could give us good production. The production is even reduced from what it had been before. The sharecroppers have no sense of ownership. I did never sale farm products. Even it is not sufficient for my home consumption. Previously we used to eat meat, cottage cheese, and butter. But now we don't. Women cannot afford to eat meat with absence of men's or husbands' financial support.",111,"6","Farming and Food",81
6,83,"Income from farming has reduced from what it had been before. Because people are treacherous and the fertility of the soil has also declined and doesn't yield as before. Previously farmers had three to four stores of grain but now farmers struggle to feed themselves.",112,"6","Farming and Food",82
6,83,"Income from farming has reduced from what it had been before. Because people are treacherous and the fertility of the soil has also declined and doesn't yield as before. Previously farmers had three to four stores of grain but now farmers struggle to feed themselves.",113,"6","Farming and Food",82
30,101,"Fertilizer distribution is unfair as they first distribute to rich people. Then the poor lately buy fertilizer form the market which has less quality. Thus, coupled with late seed sowing, leads to less production.",114,"6","Farming and Food",82
30,102,"Fertilizer distribution is unfair as they first distribute to rich people. Then the poor lately buy fertilizer form the market which has less quality. Thus, coupled with late seed sowing, leads to less production.",115,"6","Farming and Food",82
38,87,NA,116,"6","Income from other sources",83
31,90,"The expenditure outweighs our income. If the income is 30 birr the expenditure is 60 birr. The reason is that the prices of goods that we buy from the market has increased while the income we earn couldn't increase proportionally. We spend much of our income to purchase food items. We pay for everything except house and water. [Decreased purchaing power due to increased living cost.]",117,"6","Expenditure and Savings",84
6,83,NA,118,"6","Expenditure and Savings",85
7,43,"The health condition of my family is very well. I'm working as 'Bego melekitegna' (Role model) in the kebele for my good achievement and performance.  We always keep the water in the container closed. We don't suffer from diarrhoea as we used to suffer some few years ago. The white people came here and demonstrated to us how to filter water using sand and 'halakuwa' (herbal plant).",119,"3","Health and Education",86
8,72,"The farming is good now since the past few years. We used to purchase food items from the market but now we produce from the farm. We use biogas and solar following the support we got from [WDA]. So we are now leading better life. The compost we got from biogas helped us to increase the fertility of land and to reduce the cost of fertilizer. It is three people with me who are using biogas technology in our locality while the other members of the community refused to use it. The biogas is helping us to prepare food, to get light, as well as to increase fertility of the soil.",120,"1","Farming and Food",87
8,48,"We have started producing bean which was very productive in Humbo woreda. We also produce vegetables like carrot, tomato and others getting support from Wolaita development association. The vegetables helped us to supplement our livelihood in past two years...[Reason for improved quality of food: produce vegetables.]",121,"1","Farming and Food",87
5,83,"...though its productivity is declining this year due to heavy heat from sun. [Reason for worse income: the erratic rainfall and change in the wind has affected our harvest.]",122,"6","Farming and Food",87
10,48,NA,123,"1","Farming and Food",88
8,72,"We are using biogas [from WDA], solar which enhanced our productivity. We are also using compost instead of fertilizer. So increased production helped us to eat better.",124,"1","Farming and Food",89
21,56,"It has been three years since I started saving in Wolima organization (Wollayita development association). We save for the money that would help us to deposit some assets for our children in the future and for emergencies cases.",125,"1","Expenditure and Savings",90
21,57,"It has been three years since I started saving in Wolima organization (Wollayita development association). We save for the money that would help us to deposit some assets for our children in the future and for emergencies cases. I have borrowed money from Wolima to buy biogas.",126,"1","Expenditure and Savings",90
20,63,NA,127,"3","Relationships (Community)",91
20,64,NA,128,"3","Relationships (Community)",92
27,77,"I have got biogas from Wolima that enabled me to avoid fertilizer loan.",129,"5","Overall Wellbeing",93
21,48,"The saving and credit services has also helped me to improve my livelihood.",130,"1","Overall Wellbeing",93
9,82,NA,131,"1","Overall Wellbeing",94
9,48,NA,132,"1","Links to other organisations",95
7,43,"The health workers also taught us about the importance of keeping sanitation and hygiene. So we have built a toilet and we don't defecate in an open field. We have also come to learn that if there is garbage in our house it would host flies and then the flies would contaminate the food. The contaminated food would cause many diseases, so we avoid leaving the food uncovered. We don't also put the food items on the ground.",133,"3","Health and Education",96
14,48,"Regarding cattle, I have received chickens from send organization which helped me a lot. I have also  cattle which I own in share with other people.",134,"1","Farming and Food",97
3,88,"I had also a cow which used to give milk but I sold it to cover health expense of my son who was severely sick and unfortunately died in the meantime.",135,"6","Farming and Food",97
5,50,"However, this year it is better as the rain rained at its regular time. Thus, the income we get from farming is improving as the production became good.",136,"5","Farming and Food",98
3,89,NA,137,"6","Income from other sources",99
21,56,NA,138,"1","Expenditure and Savings",100
1,90,"The sickness of my child and later his death obliged me to spend more in expensive funeral ceremony that eroded my financial base. Thus, I have outstanding debit that I have to pay back.",139,"6","Expenditure and Savings",101
7,43,"In the last three years there has been a change in our health. We are keeping our environment clean according to awareness creation given by health officers. In addition to health workers, WODA is also teaching us to protect our health and our environment through managing solid wastes and avoiding conditions which led to malaria problem. There is change in our health, malaria is not frequently occurring like before, we have our independent toilet and shower. We are keeping our health through washing our hands, our bodies every three days, our clothes and also washing all our utensils before and after using it. We got awareness from the NGO send a cow. The organization had taught us to keep our environment clean and to protect ourselves from various communicable diseases.",140,"1","Health and Education",102
7,43,"In the last three years there has been a change in our health. We are keeping our environment clean according to awareness creation given by health officers. In addition to health workers, WODA is also teaching us to protect our health and our environment through managing solid wastes and avoiding conditions which led to malaria problem. There is change in our health, malaria is not frequently occurring like before, we have our independent toilet and shower. We are keeping our health through washing our hands, our bodies every three days, our clothes and also washing all our utensils before and after using it. We got awareness from the NGO send a cow. The organization had taught us to keep our environment clean and to protect ourselves from various communicable diseases.",141,"1","Health and Education",102
8,72,"We have improvement in our health and we are taking varieties of food because of the change in our life. The reason for overall change and improvement is agriculture and agricultural productivity has increased. This is because of my commitment in farming and the way of farming is improved; cultivating according to seasons; when and where agriculture is effective.",142,"3","Farming and Food",103
8,72,"We have improvement in our health and we are taking varieties of food because of the change in our life. The reason for overall change and improvement is agriculture and agricultural productivity has increased. This is because of my commitment in farming and the way of farming is improved; cultivating according to seasons; when and where agriculture is effective.",143,"7","Farming and Food",103
5,50,NA,144,"5","Farming and Food",104
22,51,"Generally, my income has increased not only from agriculture but also from apiculture and fattening. Even the income I earn only from honey and honey product covers all my expenditures including land tax and all home expenditures. [Ability to purchase household goods has increased because of income. Purchased bike for son for is earning a living from it.]",145,"5","Income from other sources",105
31,90,"Expenditure of fertilizer is the main spending that we have. Our spending of fertilizer is getting higher due to the increase of  price of fertilizer year after year. Therefore, expenditure is also increased.
",146,"6","Expenditure and Savings",106
21,56,"With regard to a culture of saving, a year ago I was saving independently in my home. Now I am joined community saving association initiated by send a cow NGO and I am cashier in the saving association. We have started saving for 5 birr contribution. When the progress is promising we made our contribution to 10 birr. Our saving association also provides credit service for those who are members of the association and creditor is expected to pay interest based on the rate of credit. An individual who borrows 1000 birr is expected to pay interest of 150 birr.  We accumulated around 29000 birr in our association. The community members can borrow this money from the association to solve their pressing problems.  The organization has encouraged us to continue saving and to invest it to start different trading activities. We have also a plan to open up a common shop in the near future. 
In last three years in general, there is improvement in our life the community members can easily get credit from saving association when we face some problem. A member can get credit easily just paying expected interest. No one is expected to go through different bureaucratic procedure and beg individuals to get credit as it was before. This is one of the changes in our life.",147,"1","Expenditure and Savings",106
21,78,"The organization bought a truck and awarded us seeing our commitment to support our association. We are using this truck to transport products from rural area to urban area.",148,"1","Expenditure and Savings",106
21,53,NA,149,"1","Expenditure and Savings",107
7,71,NA,150,"3","Relationships (Household)",108
20,64,NA,151,"5","Relationships (Community)",109
20,64,NA,152,"3","Relationships (Community)",110
20,64,NA,153,"3","Overall Wellbeing",111
8,48,NA,154,"1","Links to other organisations",112
5,83,"There has been a reduction in agricultural production because we owned small plot of land which is only for subsistence. The weather condition in this season has limited our agricultural production. There is no change in agricultural production mainly becuse of lack of land for farming.",155,"6","Farming and Food",113
31,90,"In the last three years things are becoming very expensive. We spend to have what is required for household members, mainly for our children. Our life is full of expense. We don't have any source of income but we have various expenditures. The expenditure is increasing overtime time because things are becoming very expensive.",156,"6","Expenditure and Savings",114
1,86,"My husband has already died, I am not farming and the land is provided to other via contract. I lack financial capacity to invest in agriculture. Therefore, agriculture production is decreasing after three years because of the above reason I mentioned",157,"6","Farming and Food",115
5,83,"My husband has already died, I am not farming and the land is provided to other via contract. I lack financial capacity to invest in agriculture. Therefore, agriculture production is decreasing after three years because of the above reason I mentioned and the existing weather condition. [Because the weather condition in the last three year is unpredictable; all agricultural products that we are using in hungry time were dried.]",158,"6","Farming and Food",115
1,86,"In last three years no good change is witnessed in my life rather it has become worse in these three years. It is because of my husband's death. Farming is not providing the yield. In general, there is no change in income.",159,"6","Income from other sources",116
3,90,NA,160,"6","Expenditure and Savings",117
3,96,NA,161,"6","Overall Wellbeing",118
7,43,"In the last three years our health condition is good and we have good health. We are trying our best under the help of God and protecting our health in washing our body, our clothes, and our kitchen materials. We are practicing the lesson that we acquired from the health workers and other non-governmental organizations.",162,"3","Health and Education",119
5,83,"In the past three years agricultural product is declining because of the fluctuation of weather condition that becomes unpredictable. We are working hard, DA's are striving their best but the fluctuation and unpredictability of weather has reduced our agricultural product. I am really shocked because of the weather condition. [In the last three years our income is decreasing because of the weather condition which contributed for low agricultural productivity.]",163,"6","Farming and Food",120
26,48,"I have small plot of land and most of the time I work in share with others and also sharecropped-in land to get some benefit.",164,"5","Farming and Food",120
5,83,NA,165,"6","Income from other sources",121
31,90,"In the last three years expenditure has increased due to high market price",166,"6","Expenditure and Savings",122
5,83,"while income is decreased due to low agricultural production related to weather conditions.",167,"6","Expenditure and Savings",122
20,64,"[In the last three years there is change in community development like the community is working in rural community roads, constructing local bridges, rehabilitating environment and other community works are taking place.] There is change and improvement in our community in last three years. The community is working through discussion and cooperation. This is because we are concerned for our community and solve our community problem in collaboration with government and NGO.",168,"3","Relationships (Community)",123
17,44,"In the last three years, my family is in good health. In terms of health, things have been improved a lot since the establishment of health care centre in the nearby village. We can easily access health services like getting injections, and other medicine whenever one of my family members does not feel good.",169,"5","Health and Education",124
13,47,"There is a good deal of improvement in terms of access to clean water for drinking and other household purpose. The government built water pipe. There is also an organization called ""sendika"" which helped me with planting water well. Water well was drilled to extract water. As result, we have no problem with getting clean water for drinking and other uses.",170,"1","Health and Education",124
5,83,"Climate change is affecting our farming production. Sometimes the weather gets better, sometimes it gets worse. I am harvesting less and less as result of bad weather condition.",171,"6","Farming and Food",125
42,51,NA,172,"5","Income from other sources",126
21,56,"I have also been saving in kind. I am member of in-kind saving team. We save 'iron sheet' that helps in building house. I have debt which is to be paid sometimes in future. But this change is good because there are improvements in our life. In the last three years, I managed to build new house. [Ranked Orgs: Send a Cow savings.]",173,"1","Expenditure and Savings",127
10,63,"In the last three years, I have been involved in various community level activities such as road repairing and other development activities. For example, here, the local school has been growing potatoes with the help of the organization called 'sendika'. Last time, we have helped the school with harvesting and weeding crops.",174,"1","Relationships (Community)",128
42,51,NA,175,"5","Overall Wellbeing",129
21,56,NA,176,"1","Links to other organisations",130
