statement_id,key,value
38,"Please list the most important links you have with organisations inside or outside of your village. For example: community interest groups, charities, religious groups or government representatives.",NA
39,"Important links to organisations, activity & change",Important link to Idir - Getting money during crisis like death
40,"Important links to organisations, activity & change",Important link to  -
41,"Important links to organisations, activity & change",Important link to  -
42,"Important links to organisations, activity & change",Important link to  -
43,"Important links to organisations, activity & change",Important link to  -
44,"Important links to organisations, activity & change",Important link to  -
45,"Important links to organisations, activity & change",Important link to  -
46,"Important links to organisations, rank",Send a Cow - 1
47,"Important links to organisations, rank",Idir - 2
48,"Important links to organisations, rank",-
49,"Important links to organisations, rank",-
50,"Important links to organisations, rank",-
51,"Important links to organisations, rank",-
52,"Important links to organisations, rank",-
53,"Important links to organisations, rank",-
54,"Don’t forget to thank the interviewee for their participation, and invite them to ask you any questions they have. Note down what these are.",NA
55,Note down any of your own observations which you think are relevant.,The interviewee has explained well for the questions I posed to him after asking him many probing question
56,Household code,KAF-14
57,Name of kebele,Kuto Sorfela
58,Name of interviewer,Muluken Tamirat
59,Date of interview,01/02/2019
60,Start time of interview  (hh:mm),09:30
61,End time of interview (hh:mm),09:50
62,Duration of interview (in minutes),20
63,Please can you tell me who currently belongs to your household?,NA
64,What is the age of the main respondent?,50
65,What is the education of the main respondent?,1
66,What is the household size (residents > 6months)?,3
67,How many under 18's in the household?,0
68,How many under 16's in full time education in the household?,0
69,Please note down the sex of the head of the household.,Female
70,Does anyone in the household have a chronic illness or disability?,Yes
71,"Overall, how has the income your family earns from farming changed during the past three years?",Improved
72,What is the main reason for any change?,"Though the income we get from farming is bad in this year it was better in the past years and there was improvement. The heavy rain resulted in flood which washed away our crops. Despite that, it has been a good harvest year in past years."
73,Over the past three years do you think that the amount of food that your household eats during the hungry season has…,Decreased
74,What is the main reason for any change?,The flood washed away our harvest. We are left with few amount of cassava and sweet potato. We are facing challenge in this year.
75,"Overall, during this period do you think that the quality and/or variety of food that your household eats during the hungry season has…",Got worse
76,What is the main reason for any change?,The weather change accompanied by flood left us with shortage of food. The water took away almost everything except the yum ('Bereket boyna').
77,Overall how has the amount you earn as cash or in kind income as a household changed over this time?,Increased
78,"Overall, how do you feel your household’s ability to control/choose the way your household earns income has changed?",Better
79,"Please tell me about any significant purchases you have made for possessions, or investments you have made for improvements to your property or land in the past three years?","I didn't buy or made any signifant purchase. I'm weak and sick, from where do I get the money?"
80,"Overall, how has what you as a household can purchase with money changed over the period?",Decreased
81,What is the main reason for any change?,"There is no such income source where I could augment my income. If I had the energy to do it, I could trade or do other activity to augment my income. People who are engaged in trading are enhancing their income capacity and can purchase anything they want."
82,"Please tell me how relationships within your household have changed in the past three years, if at all.","I advise my children about how to promote their trade activity, I also tell them to work cooperatively and to do everything with discussion. So we do things jointly after discussing it."
83,Overall how do you feel that relationships within your household have changed…,Better
84,What is the main reason for any change?,"We always discuss things together but if any disagreements arise, I let them have it their way. That is why our relationship good is over time."
85,"Please tell me how your relationships with others living in this community have changed during the period, if at all.","Whatever I do, I do it with my children. Everyone is tied with his life and I also have to be concerned with mine. We just greet each other and that is what we share in common."
86,Do you feel that there has been any change in the way people in the community work together?,Everyone is living his own life. There are people who get support from different organizations that could enhance their livelihood. For example there are people who received cash as well as in kind like with chicken. People who are member of 'safety net' for instance get such support. But I didn't get such support.
87,Overall how do you feel that community relations and decision-making have changed over the past three years?,No change
88,What is the main reason for any change?,NA
89,"If we consider wellbeing as including your physical, emotional, mental and spiritual health, overall, taking all things into account, how do you think the wellbeing of your household has changed during the past three years?",Better
90,Please explain your answer. Are there specific things you can think of that have happened to improve/reduce your feeling of wellbeing during the period?,I'm trying my best to change my life. I still feel optimistic about the future. So I feel that I'm very well.
91,"How hopeful are you for the future, do you feel your wellbeing will improve?",I feel that I will do my best and make a great deal of effort to change my life with the help of God. I also pray God to bless me in my life.
92,"Please list the most important links you have with organisations inside or outside of your village. For example: community interest groups, charities, religious groups or government representatives.",NA
93,"Important links to organisations, activity & change",Important link to Idir - Depositing money for time of emergency
94,"Important links to organisations, activity & change",Important link to Church - Depositing money and cleaning the compound
95,"Important links to organisations, activity & change",Important link to  -
96,"Important links to organisations, activity & change",Important link to  -
97,"Important links to organisations, activity & change",Important link to  -
98,"Important links to organisations, activity & change",Important link to  -
99,"Important links to organisations, activity & change",Important link to  -
100,"Important links to organisations, activity & change",Important link to  -
101,"Important links to organisations, rank",Idir - 2
102,"Important links to organisations, rank",Church - 1
103,"Important links to organisations, rank",-
104,"Important links to organisations, rank",-
105,"Important links to organisations, rank",-
106,"Important links to organisations, rank",-
107,"Important links to organisations, rank",-
108,"Important links to organisations, rank",-
109,"Don’t forget to thank the interviewee for their participation, and invite them to ask you any questions they have. Note down what these are.",NA
110,Note down any of your own observations which you think are relevant.,It was an interesting interview.
111,Household code,KAM-1
112,Name of kebele,Kuto Sorfela
113,Name of interviewer,Muluken Tamirat
114,Date of interview,01/05/2019
115,Start time of interview  (hh:mm),10:00
116,End time of interview (hh:mm),10:19
117,Duration of interview (in minutes),19
118,Please can you tell me who currently belongs to your household?,NA
119,What is the age of the main respondent?,28
120,What is the education of the main respondent?,5
121,What is the household size (residents > 6months)?,5
122,How many under 18's in the household?,3
123,How many under 16's in full time education in the household?,2
124,Please note down the sex of the head of the household.,Male
125,Does anyone in the household have a chronic illness or disability?,No
126,"Overall, how has the income your family earns from farming changed during the past three years?",Improved
127,Over the past three years do you think that the amount of food that your household eats during the hungry season has…,Increased
128,"Overall, during this period do you think that the quality and/or variety of food that your household eats during the hungry season has…",Improved
129,"Please tell me how your ability as a household to earn money and/or payment in kind from non-farming activities has changed in the last three years, if at all.",I used to engage in petty trading in previous times. But later I started teff farming and also fattening ox to sell it for a better price. My wife is also engaged in trading activity and our income is now improving. We plan to go to urban centre to build a house and live there.
130,Overall how has the amount you earn as cash or in kind income as a household changed over this time?,Increased
131,"Overall, how do you feel your household’s ability to control/choose the way your household earns income has changed?",Better
132,"Please tell me how what you spend money on as a household has changed during the last three years, if at all.","I have to pay for 'Idir', 'shufuwa' (local informal association for saving) and for wedding ceremonies that are all increasing with modernization. Despite these social obligations, there is nothing that bears financial burden on me. Regarding saving, I save 5 birr per week in shufuwa and it is growing. In addition to that I have saving account in Wolaita Sodo in the bank (unspecified)."
133,"Overall, how has what you as a household can purchase with money changed over the period?",Increased
134,"Please tell me how relationships within your household have changed in the past three years, if at all.","I discuss every affair that concerns us, with my wife. We don't quarrel with each other since every move in our life is made based on the consent of both of us. My family live in peace and harmony. Whether it is about deciding on issues related to medical treatment, purchasing, or any other thing, we make a decision after we have discussed. Since our children have not matured yet it is we (both of us) who decide jointly in every issue."
135,Overall how do you feel that relationships within your household have changed…,Better
136,What is the main reason for any change?,It is because of our understanding has improved with due course of time. We have also come to learn that working together cooperatively can improve our livelihood by enhancing our productivity. So it is learned experience.
137,"Please tell me how your relationships with others living in this community have changed during the period, if at all.","The government has introduced 1 to 5 network so that the community may work cooperatively. But the problem is that people do it individually and also won't come on time (to the appointment to work together). For instance, if I came to work in the network (1-5 grouping) the other may be absent for personal case. People tend to be individual rather than working in cooperative. Yet there are occasions when people do work together in the community's common affairs. But we mainly prefer 'daguwa' (informal cooperative group) to work together. The kebele leaders also frequently teach us how it is important to work cooperatively."
138,Do you feel that there has been any change in the way people in the community work together?,"People still participate in social affairs like wedding, circumcision ceremony, and other events. I also actively participate in such affairs. Members of the community are also working together in activities like 'makoriya' (water sheds), URAP (Universal Rural Road Assesses Program) for community mobilization. People also help each other in emergencies that need help of others."
139,Overall how do you feel that community relations and decision-making have changed over the past three years?,Better
140,What is the main reason for any change?,People are learning benefits of working together to develop their locality.
141,"If we consider wellbeing as including your physical, emotional, mental and spiritual health, overall, taking all things into account, how do you think the wellbeing of your household has changed during the past three years?",Better
142,"How hopeful are you for the future, do you feel your wellbeing will improve?","With the help of God and the support from the government, I hope that I can reach where other people have reached and will enable my children to have a bright future. I will socialize my children in the way that they can make their future bright, particularly by focusing on their education. I'm planning to expand my trade in the future."
143,"Please list the most important links you have with organisations inside or outside of your village. For example: community interest groups, charities, religious groups or government representatives.",NA
144,"Important links to organisations, activity & change",Important link to Idir - Saving money for emergency occasion
145,"Important links to organisations, activity & change",Important link to  - .
146,"Important links to organisations, activity & change",Important link to  -
147,"Important links to organisations, activity & change",Important link to  -
148,"Important links to organisations, activity & change",Important link to  -
149,"Important links to organisations, activity & change",Important link to  -
150,"Important links to organisations, activity & change",Important link to  -
151,"Important links to organisations, rank",Send a Cow - 1
152,"Important links to organisations, rank",Idir - 2
153,"Important links to organisations, rank",-
154,"Important links to organisations, rank",-
155,"Important links to organisations, rank",-
156,"Important links to organisations, rank",-
157,"Important links to organisations, rank",-
158,"Important links to organisations, rank",-
159,"Don’t forget to thank the interviewee for their participation, and invite them to ask you any questions they have. Note down what these are.",NA
160,Note down any of your own observations which you think are relevant.,The interviewee was confident in all his responses and had a smiling face throughout. I really enjoyed the interview. He seems optimistic about the future.
161,Household code,KBF-25
162,Name of kebele,Kuto Sorfela
163,Name of interviewer,Muluken Tamirat
164,Date of interview,01/04/2019
165,Start time of interview  (hh:mm),16:00
166,End time of interview (hh:mm),16:18
167,Duration of interview (in minutes),18
168,Please can you tell me who currently belongs to your household?,.
169,What is the age of the main respondent?,40
170,What is the education of the main respondent?,None
171,What is the household size (residents > 6months)?,3
172,How many under 18's in the household?,1
173,How many under 16's in full time education in the household?,1
174,Please note down the sex of the head of the household.,Female
175,Does anyone in the household have a chronic illness or disability?,Yes
176,"Overall, how has the income your family earns from farming changed during the past three years?",Got worse
177,What is the main reason for any change?,The fertility of land is declining and it is not giving good product. Many of my sons migrated to other areas due to the declining of production from the land. My daughters were also married early due to deteriorating economic situation of my family which also forced them to drop-out from school. Harvest failure is making our efforts futile.
178,Over the past three years do you think that the amount of food that your household eats during the hungry season has…,Decreased
179,What is the main reason for any change?,Harvest failure is the main cause of decreasing farming yield.
180,"Overall, during this period do you think that the quality and/or variety of food that your household eats during the hungry season has…",Got worse
181,Overall how has the amount you earn as cash or in kind income as a household changed over this time?,Decreased
182,"Overall, how do you feel your household’s ability to control/choose the way your household earns income has changed?",Worse
183,What is the main reason for any change?,"When I was young and healthy, I used to engage in trading activity and make and sell clothes and other commodities and had a good financial base. But now I'm sick and I can't access resources which would have enabled me to increase my income."
184,"Please tell me about any significant purchases you have made for possessions, or investments you have made for improvements to your property or land in the past three years?","There is nothing I bought in the past three years, rather I'm paying back the money I borrowed to build the new iron-corrugated house for I had financial stress. Everyone in the locality is building iron-corrugated house and I had also to build it."
185,"Overall, how has what you as a household can purchase with money changed over the period?",Decreased
186,What is the main reason for any change?,I'm weak and can't make effort to improve my livelihood through trading as I used to engage in past times.
187,Overall how do you feel that relationships within your household have changed…,No change
188,What is the main reason for any change?,NA
189,"Please tell me how your relationships with others living in this community have changed during the period, if at all.","We help each other in activities like constructing houses and other activities. If the kebele asked us ""I'm going to construct a road, bridge or water pump so you may contribute your part"" we could have contributed our part."
190,Do you feel that there has been any change in the way people in the community work together?,People sometimes help each other in occasions that demand others help. But there is nothing different that I have observed yet.
191,Overall how do you feel that community relations and decision-making have changed over the past three years?,Better
192,What is the main reason for any change?,"People are mobilized by the kebele to develop the community. We engage in activities like road and bridge construction, and other. It is improving."
193,"If we consider wellbeing as including your physical, emotional, mental and spiritual health, overall, taking all things into account, how do you think the wellbeing of your household has changed during the past three years?",Better
194,Please explain your answer. Are there specific things you can think of that have happened to improve/reduce your feeling of wellbeing during the period?,There is nothing that has been done so far in the locality as to my knowledge. For example we fetch water from spring hole while we could have constructed water pumps. But I am still hopeful for the future.
195,"How hopeful are you for the future, do you feel your wellbeing will improve?","Regarding the future, we pray God to make the future bright for us. We don't feel pessimistic about the future."
196,"Please list the most important links you have with organisations inside or outside of your village. For example: community interest groups, charities, religious groups or government representatives.",NA
197,"Important links to organisations, activity & change",Important link to Idir - I deposit money in six Idir association
198,"Important links to organisations, activity & change",Important link to  -
199,"Important links to organisations, activity & change",Important link to  -
200,"Important links to organisations, activity & change",Important link to  -
201,"Important links to organisations, activity & change",Important link to  -
202,"Important links to organisations, activity & change",Important link to  -
203,"Important links to organisations, activity & change",Important link to  -
204,"Important links to organisations, activity & change",Important link to  -
205,"Important links to organisations, rank",Idir - 1
206,"Important links to organisations, rank",-
207,"Important links to organisations, rank",-
208,"Important links to organisations, rank",-
209,"Important links to organisations, rank",-
210,"Important links to organisations, rank",-
211,"Important links to organisations, rank",-
212,"Important links to organisations, rank",-
213,Note down any of your own observations which you think are relevant.,NA
214,Household code,KBF-26
215,Name of kebele,Kuto Sorfela
216,Name of interviewer,Muluken Tamirat
217,Date of interview,01/01/2019
218,Start time of interview  (hh:mm),11:00
219,End time of interview (hh:mm),11:11
220,Duration of interview (in minutes),11
221,Please can you tell me who currently belongs to your household?,NA
222,What is the age of the main respondent?,18
223,What is the education of the main respondent?,4
224,What is the household size (residents > 6months)?,3
225,How many under 18's in the household?,0
226,How many under 16's in full time education in the household?,0
227,Please note down the sex of the head of the household.,Male
228,Does anyone in the household have a chronic illness or disability?,No
229,Please tell me about any changes in the health of your household during this period.,The health condition of my family is good. There is no problem. We manage to keep our hygiene by washing our body and clothes in the river around our home. We also keep sanitation in a good way. Though there is no potable water from modern water pump we collect it from spring water (water that flows out of ground) in our locality. Me and my husband met at Meki town where we both migrated in search of a better life. Now we have returned to our birth place and we learned a lot about modern life during our stay at Meki.
230,"Overall, how has the income your family earns from farming changed during the past three years?",Not sure
231,What is the main reason for any change?,NA
232,Over the past three years do you think that the amount of food that your household eats during the hungry season has…,Increased
233,What is the main reason for any change?,Both me and my husband work hard and earn good income. So we can purchase foods needed for consumption.
234,"Overall, during this period do you think that the quality and/or variety of food that your household eats during the hungry season has…",Improved
235,What is the main reason for any change?,It is because of improved income from non-farm activity.
236,Overall how has the amount you earn as cash or in kind income as a household changed over this time?,Increased
237,"Overall, how do you feel your household’s ability to control/choose the way your household earns income has changed?",Better
238,What is the main reason for any change?,Increased income from non-farm activities such as petty trade and daily labour works.
239,"Please tell me about any significant purchases you have made for possessions, or investments you have made for improvements to your property or land in the past three years?",We built a new corrugated iron house . We used to live in a hut built from grass. It is a good improvement.
240,"Overall, how has what you as a household can purchase with money changed over the period?",Increased
241,What is the main reason for any change?,"I used to work alone selling 'injera' in the market and the income I earned was meagre. However, now our income is improved as we (her and her husband) started working as daily labourers. We get better income now."
242,"Please tell me how relationships within your household have changed in the past three years, if at all.","We do everything after discussing it together and reaching an agreement. For example, we save money after discussing what amount of money we have to save and where to save. We also started depositing money after deciding to buy a cow for us. We also build the house after making discussions."
243,Overall how do you feel that relationships within your household have changed…,Better
244,What is the main reason for any change?,We get good income as per our effort. We are able to do this because of our cooperation and joint works in all affairs.
245,Do you feel that there has been any change in the way people in the community work together?,I didn't notice anything different in the way people work together. It has been the same in past periods.
246,Overall how do you feel that community relations and decision-making have changed over the past three years?,Better
247,"If we consider wellbeing as including your physical, emotional, mental and spiritual health, overall, taking all things into account, how do you think the wellbeing of your household has changed during the past three years?",Better
248,"How hopeful are you for the future, do you feel your wellbeing will improve?",I feel hopeful about the future. I will work hard so that I may increase my income and improve my trading activity. It is possible to change my future if I work hard.
249,"Please list the most important links you have with organisations inside or outside of your village. For example: community interest groups, charities, religious groups or government representatives.",NA
250,"Important links to organisations, activity & change",Important link to Church - I worship here and deposit money
251,"Important links to organisations, activity & change",Important link to Idir - Attending meeting and paying share of money
252,"Important links to organisations, activity & change",Important link to  -
253,"Important links to organisations, activity & change",Important link to  -
254,"Important links to organisations, activity & change",Important link to  -
255,"Important links to organisations, activity & change",Important link to  -
256,"Important links to organisations, activity & change",Important link to  -
257,"Important links to organisations, activity & change",Important link to  -
258,"Important links to organisations, rank",Church - 1
259,"Important links to organisations, rank",Idir - 2
260,"Important links to organisations, rank",-
261,"Important links to organisations, rank",-
262,"Important links to organisations, rank",-
263,"Important links to organisations, rank",-
264,"Important links to organisations, rank",-
265,"Important links to organisations, rank",-
266,"Don’t forget to thank the interviewee for their participation, and invite them to ask you any questions they have. Note down what these are.",NA
267,Note down any of your own observations which you think are relevant.,"It was an interesting interview, though the interviewee wasn’t directly explaining things related to my questions."
268,Household code,KBM-17
269,Name of kebele,Kuto Sorfela
270,Name of interviewer,Muluken Tamirat
271,Date of interview,01/02/2019
272,Start time of interview  (hh:mm),10:30
273,End time of interview (hh:mm),10:52
274,Duration of interview (in minutes),22
275,Please can you tell me who currently belongs to your household?,NA
276,What is the age of the main respondent?,40
277,What is the education of the main respondent?,4
278,What is the household size (residents > 6months)?,4
279,How many under 18's in the household?,2
280,How many under 16's in full time education in the household?,2
281,Please note down the sex of the head of the household.,Male
282,Does anyone in the household have a chronic illness or disability?,No
283,Please tell me about any changes in the health of your household during this period.,"There is no problem with regards to the health condition of my family, thanks to God. Both me and my wife do a great deal for our children so that they won’t get sick. They are healthy and regularly follow their education and support us after school. We feed them regularly, particularly on their return from school so that they won’t get sick. 
We keep good hygiene and sanitation of our family. We regularly wash our clothes as well as our children's clothes. We also change our clothes before they get dirty. My wife also washes the body of the younger children regularly. Now people are changed, they keep their hygiene and sanitation very well, they eat better and sleep in better beds. Regarding drinking water we used to collect water from river. But now we drink potable water from the kebele which costs only 0.5 cents for 10 litre. Everything is now changed and even cattle drink better water."
284,"Overall, how has the income your family earns from farming changed during the past three years?",Improved
285,What is the main reason for any change?,Farmers now produce good amounts and store the surplus production. The price of cereals is also better now. For example we used to sell 100 kg of teff for 1500 or 1700. But now it can be sold for 2000 or up to 2200 birr. So the income we get from farming is better now.
286,Over the past three years do you think that the amount of food that your household eats during the hungry season has…,Increased
287,What is the main reason for any change?,What people eat in hungry season depends on the preparation they made previously. People who stored food items in their home or have crops in the farming field could do better during hungry season. So many of us store food for hungry season and now we eat better. The government also helps the poorest ones through a safety net program.
288,"Overall, during this period do you think that the quality and/or variety of food that your household eats during the hungry season has…",Improved
289,What is the main reason for any change?,Now we can produce a variety of crops and we can also get food from the market. People now eat better than before.
290,What is the main reason for any change?,Now we can produce a variety of crops and we can also get food from the market. People now eat better than before.
291,"Please tell me how your ability as a household to earn money and/or payment in kind from non-farming activities has changed in the last three years, if at all.","Sometimes I may get 50 or 60 birr for daily labouring and this will help me in supplementing my expenditures on 'masqel' (new year) festival, idir and other expenditures. Along with the crop farming, cattle rearing is another option for us. If a farmer owns a cow he may use the milk to feed his children or to sell it at the market. But trading activity is not as rewarding as it used to be. So daily labouring is a good source of non-farm income for us."
292,Overall how has the amount you earn as cash or in kind income as a household changed over this time?,No change
293,"Overall, how do you feel your household’s ability to control/choose the way your household earns income has changed?",No change
294,What is the main reason for any change?,NA
295,"Please tell me about any significant purchases you have made for possessions, or investments you have made for improvements to your property or land in the past three years?",I bought an ox and a sheep which helped me in my farming activities.
296,"Overall, how has what you as a household can purchase with money changed over the period?",Increased
297,What is the main reason for any change?,I save from what I get so that I may buy assets needed for my life.
298,"Please tell me how relationships within your household have changed in the past three years, if at all.",We live in harmony with my wife and children. We make decision on what to purchase or to sell after discussing it and reaching at agreement with my wife.
299,Overall how do you feel that relationships within your household have changed…,Better
300,What is the main reason for any change?,"As we (me and my wife) work jointly and in harmony, we find it a better way of dealing with things. So we learnt from experience."
301,"Please tell me how your relationships with others living in this community have changed during the period, if at all.","We participate in various affairs of the community that concern us. For example, if I have to stay and work at farming, my son will go to the safety net program. We actively engage in all social obligations in our locality too."
302,Do you feel that there has been any change in the way people in the community work together?,The government is making efforts to develop the kebele. The kebele currently announced that it is going to construct a new building for its office use. Send organization is also planning to construct a shop around the kebele which will serve the people. The send has been also growing teff with the people of kebele and planted trees around the river which was given for their development project.
303,Overall how do you feel that community relations and decision-making have changed over the past three years?,Better
304,What is the main reason for any change?,The government has been mobilizing people to develop themselves and other organizations are also helping it.
305,"If we consider wellbeing as including your physical, emotional, mental and spiritual health, overall, taking all things into account, how do you think the wellbeing of your household has changed during the past three years?",Better
306,"How hopeful are you for the future, do you feel your wellbeing will improve?","Let the God help me, I plan a lot about the future. I want to build a new house, to open a shop and to improve my life as well as my children's lives. So I feel optimistic about the future."
307,"Please list the most important links you have with organisations inside or outside of your village. For example: community interest groups, charities, religious groups or government representatives.",NA
308,"Important links to organisations, activity & change","Important link to Safety net program - Planting tree, constructing water-sheds,  building terracing and planting cash crops"
309,"Important links to organisations, activity & change",Important link to Idir  - Depositing money for emergencies
310,"Important links to organisations, activity & change",Important link to  -
311,"Important links to organisations, activity & change",Important link to  -
312,"Important links to organisations, activity & change",Important link to  -
313,"Important links to organisations, activity & change",Important link to  -
314,"Important links to organisations, activity & change",Important link to  -
315,"Important links to organisations, activity & change",Important link to  -
316,"Important links to organisations, rank",Safetynet Program - 1
317,"Important links to organisations, rank",Idir - 2
318,"Important links to organisations, rank",-
319,"Important links to organisations, rank",-
320,"Important links to organisations, rank",-
321,"Important links to organisations, rank",-
322,"Important links to organisations, rank",-
323,"Important links to organisations, rank",-
324,"Don’t forget to thank the interviewee for their participation, and invite them to ask you any questions they have. Note down what these are.",NA
325,Note down any of your own observations which you think are relevant.,It was a good interview.
326,Household code,LBM-12
327,Name of kebele,Waraza Lasho
328,Name of interviewer,Muluen Tamirat
329,Date of interview,12/28/18
330,Start time of interview  (hh:mm),11:00
331,End time of interview (hh:mm),11:43
332,Duration of interview (in minutes),43
333,Please can you tell me who currently belongs to your household?,NA
334,What is the age of the main respondent?,35
335,What is the education of the main respondent?,10
336,What is the household size (residents > 6months)?,7
337,How many under 18's in the household?,3
338,How many under 16's in full time education in the household?,2
339,Please note down the sex of the head of the household.,Male
340,Does anyone in the household have a chronic illness or disability?,No
341,"Overall, how has the income your family earns from farming changed during the past three years?",GOT WORSE
342,Over the past three years do you think that the amount of food that your household eats during the hungry season has…,DECREASED
343,What is the main reason for any change?,It is due to climate change that the amount of food my household eats during hungry season is decreasing. In past times we produced sweet potato and inset that enabled us to cope with the hunger. But now lack of rainfall is creating a challenge to produce these crops.
344,"Overall, during this period do you think that the quality and/or variety of food that your household eats during the hungry season has…",GOT WORSE
345,What is the main reason for any change?,Lack of rainfall which leads to declining productivity from farming.
346,"Please tell me how your ability as a household to earn money and/or payment in kind from non-farming activities has changed in the last three years, if at all.",There is no other income source than selling agricultural products in the market. Though the profit isn’t rewarding I sell some cereals in market to cover my expenditures such as land tax and Masqala festival. I also trade cattle buying it from other people and selling it for better price. Yet the money I get is meagre.
347,Overall how has the amount you earn as cash or in kind income as a household changed over this time?,DECREASED
348,"Overall, how do you feel your household’s ability to control/choose the way your household earns income has changed?",GOT WORSE
349,"Please tell me about any significant purchases you have made for possessions, or investments you have made for improvements to your property or land in the past three years?",There is not a significant purchase I made except an ox which I bought last year. I borrowed some money from a friend and sold some of my assets to buy the ox. It is very useful in farming activity.
350,"Overall, how has what you as a household can purchase with money changed over the period?",DECREASED
351,"Please tell me how relationships within your household have changed in the past three years, if at all.","We (my wife and I), are planning to improve our livelihood together. People are changing their life through working together. They are building houses in town and increasing their income. So we have learned that working together is very important to change for better. Whether it is buying or selling assets, deciding on cases of emergency, it is me who decides."
352,Overall how do you feel that relationships within your household have changed…,FOR THE BETTER
353,What is the main reason for any change?,We have learned that working in agreement is good to improve ourselves.
354,Overall how do you feel that community relations and decision-making have changed over the past three years?,FOR THE WORSE
355,What is the main reason for any change?,"If the government had mobilized the community we could have changed our life. The first kebele, the kebele where we had been a member, has health post, health centre, religious organization and others, but here we don't have these social services. People are eager to improve their lives but we do not have somebody who organizes us."
