"text","source_id","statement_id"
"I have been sick in the past few years and my whole body feels weak. My elder son is also sick and that is why he dropped out of his education. Despite that, I don't face challenge in terms of getting food for consumption. I also make good care of hygiene and I teach my sons the same. We also collect drinking water from spring water since we don't have access for other potable water like from water pumps. Two of my children migrated to other areas in seeking better jobs. They have dropped out of school. Since the death of my husband it is me who is suffering a lot to win the bread for my family.","B1",23
"The farming activity is declining in productivity over time. The death of my husband also left the land abandoned, as there is no one who could care for the land. I work for share-cropping with others and they don't care for the land as I do. My elder brother who would have helped me in the farming activity has been sick for three years which adds another challenge. Yet we eat well since we can purchase the food from the market. Half of my land is covered by trees which I planted in share with others. Though the tree is one source of income, it is adversely affecting the fertility of the land. We grow yum, maize and teff which sometimes give good yield. I had cattle but I have sold them to build a new house, as the old one was deteriorated. Now I have a cow. We eat different kind of food, some of it is purchased from the market while others from my own farm field.","C1",24
"The fertility of land is declining and it is not giving good product. Many of my sons migrated to other areas due to the declining of production from the land. My daughters were also married early due to deteriorating economic situation of my family which also forced them to drop-out from school. Harvest failure is making our efforts futile.","C3",25
"The farming activity is not rewarding. Crop-failure leaves us with few food amount during bad seasons (hungry season).","C7",26
"From where do I get other income opportunity since I'm not a government employee or merchant? I myself have been fighting with my illness over the past three years, so I couldn't access other income sources. If the cow gives milk I may get some benefit. The farming yield doesn't give surplus production which I may take to market and sell. So I don't have another non-farm activity related to income earning.","D1",27
"Oh! Everything is becoming expensive and we have to spend more than ever before. The cost to meet the need of my children, visiting my daughters and others too when they give birth, everything is difficult to afford. We may have some amount of money from selling coffee in months like this (January), but the money will quickly get swept away with Masqala (new year) festivity costs, land tax, and others. I was also receiving support from a safety net  program but they excluded me from being a beneficiary when my husband died. I sold my cattle and built a new house trusting the support I would get from them (safety net) but it is about six month since I was excluded from being a beneficiary.","E1",28
"The children are young and can't help me a lot. The rest are living in other areas but they help me in sending me remittance (up to 200 or 300 birr). Those who are living with me are young and they can't help me.","F1",29
"I'm very thankful for the government. It is with the support I got from the government (safety-net program) that I built the new house. But the people who are administering the safety net excluded me as I built the house. It was a tough time for me since I had no money - as I spent it to construct the house. But the government has helped me to build the house as the safety net program save me from selling out my cattle during the first periods I stayed in the program.","J1",30
"The farming activity is good. But it is only three weeks ago since we got farming land from my husband's brother. We have ploughed it and it is ready for cropping. My husband works on a stone quarry that serves for construction activity and I also sell injera at market. So we purchase the cereals from the market, grind it and use it for a month. We also grow vegetables for home consumption. Though we don't grow crops, we eat different foods from purchasing them from the market.","C1",31
"We earn good income from the non-farm activities we both are engaged in. He gets good income from daily labour and I also earn meaningful income from the petty trade I'm engaged in. We have recently built a new iron corrugated house due to our improved income.","D1",32
"Most of our spending goes to purchasing basic necessities of food items and clothes. Though the cost is rising we can afford it due to increased income. 
My husband saves money through depositing it in shufuwa (local informal association for saving money) and I also deposit it in idir association in our locality. We didn't borrow from anyone.","E1",33
"As to my knowledge people nowadays are cooperative and work together in common affairs. They help each other in difficult times. The government also gave 'paranja kutuwa' (hybrid chicken) to people in the locality. But almost all chickens died due to 'kotuwa' (chicken epidemic) that attacked the chickens.","G1",34
"It is because of increased support from government and NGOs.","G4",35
"I gave my first birth through medical surgery which left me with continuous abdominal pain. This in turn makes it difficult to do laborious activities and affects my wellbeing. I myself will work hard to improve my livelihood in the future.","H2",36
"There is no problem with regards to the health condition of my family, thanks to God. Both me and my wife do a great deal for our children so that they won't get sick. They are healthy and regularly follow their education and support us after school. We feed them regularly, particularly on their return from school so that they won't get sick. 
We keep good hygiene and sanitation of our family. We regularly wash our clothes as well as our children's clothes. We also change our clothes before they get dirty. My wife also washes the body of the younger children regularly. Now people are changed, they keep their hygiene and sanitation very well, they eat better and sleep in better beds. Regarding drinking water we used to collect water from river. But now we drink potable water from the kebele which costs only 0.5 cents for 10 litre. Everything is now changed and even cattle drink better water.","B1",37
"The problem of rainfall and climate change is adversely affecting our farming activity starting from past three years. Sowing crop or ploughing the land isn't giving good yield. People spend more on the land but the return is very low, it can't even cover the cost. The soil is not as productive as it used to be some years ago. But this year's harvest is relatively better. This year's teff and wheat production is better as we received the rain on time. What we farmers abundantly have here in our locality is 'gadisa' (sweet potato) and 'bereket' (hybrid yum) which helped us a lot. What matters a lot is rainfall availability. So we plant crops as per seasons, whether 'Sila' (summer) and 'Gaba' (winter). For instance we have planted sweet potato in the past months and we are now preparing the land for cropping yum. People are also preparing the land for cropping maize on which they grown teff. 
Cattles are important assets for us, whose livelihood is based on farming. For example if a farmer has oxen, he can at least engage in sharecropping arrangement even if his land is fragmented. So he can earn income, get his food and send his children to school. So I own ox and use it for farming.","C1",38
"Farmers now produce good amounts and store the surplus production. The price of cereals is also better now. For example we used to sell 100 kg of teff for 1500 or 1700. But now it can be sold for 2000 or up to 2200 birr. So the income we get from farming is better now.","C3",39
"Expenditure is higher than my income due to declining fertility of land and erratic rainfall that resulted in declining yield of agricultural products. We spend on purchasing food items from the market and buying drinking water. Trading activity isn't as rewarding as it used to be in previous times. We also have to engage in social affairs where we also have to spend money. For example, we used to spend 200 or up to 300 birr for masqel festival to buy meat. But now it costs up to 1000 birr. So expenditure is increasing. We save as much as possible. Whether it is 10 or 20 birr I get from the safety net, I save it. I also have to deposit in Idir. I didn't borrow money from any one and neither of my family members did.","E1",40
"The government is making efforts to develop the kebele. The kebele currently announced that it is going to construct a new building for its office use. Send organization is also planning to construct a shop around the kebele which will serve the people. The send has been also growing teff with the people of kebele and planted trees around the river which was given for their development project.","G2",41
"Safety net program helped me a lot in improving my life. Though the amount I used to get from it was minimal, it served as initial capital in improving my livelihood. The income I got from it helped me to feed my children and to enhance my farming production.","H2",42
"The health condition of my family has been good in past three years. The only problem we are facing is declining productivity of agriculture. We don't suffer from any epidemics as we used to suffer. The heath extension has been teaching us how to keep hygiene and sanitation and we make a great deal of care concerning it. We also get potable water around here in the kebele which is constructed by World organization in 2009. My child at higher rank that is in the 10th grade follows his education regularly. But the rest face challenge due to financial stress I'm facing.","B1",43
"In the past three years the erratic rainfall has resulted in declining productivity of farming. The rainfall isn't raining based on its usual calendar and also the wind is hindering us from cropping. Even if we plant crops the rainfall may come in harvesting season which will result in total harvest failure. So the past three years have been tough for farmers in the locality.
I have cropped a seed known as 'Obama' to try in my farm field. I bought it from the market and I have realized that it can adapt to the current climate change. I don't produce cereals like teff and maize anymore due to the problem in climate condition. The kebele administrators teach us to produce vegetables like cabbage, carrot and others but we couldn't do it since the vegetables need watering regularly but we don't have irrigation in our locality. So vegetables will die soon when sunny season comes. 
In past times farming activity was good since the rainfall was good. The agricultural yield per hectare is now steadily decreasing. The land which used to give up to 5/6 quintals per hectare now won't give more than 2 quintals. Erratic rainfall is posing a challenge in terms of getting high yield. The rain is not raining regularly. Regarding cattle we are facing challenge in terms of getting fodders for cattle. The grazing land where we used to feed our cattle is now devoid of grasses due to the lack of rainfall. So our cattle are now vulnerable to various epidemics and we frequently have to bring them to medication. There are people who are near by water and use irrigation to produce vegetables. Most of the time we rely on utta (iset/False banana) for feeding. But now utta (inset) is also drying due to climate change. We used to produce and eat sweet potato, maize, and other crops. But now it is declining.","C1",44
"The climate change with heavy sun, high wind and low rainfall has contributed to the declining of our farm productivity. So we earn less income from reduced production.","C3",45
"The climate change has posed great challenge in finding enough food from our farm. So whatever we earn we spend it on purchasing food. We don't have high income that would enable us to buy property/assets.","D4",46
"We received fertilizer through credit from the government and we have to pay it back during harvest period. Land tax is another cost where we have to spend. We have also to deposit money to celebrate Masqala festival. So whatever income we get, it is not more than our costs. We have also to purchase food since the land is not as productive as it used to be. I used to actively engage in social obligations like joining friends in funerals and other ceremonies, which drained away much of my income. 
The income I get doesn't allow me to save, thus I don't have saving. The expensive cost of living doesn't allow my family to save money.","E1",47
"The cost of living is too high and we spend more than we get. So it is obvious that our ability to purchase has decreased over time.","E4",48
"I used to work as kebele chair and have served the community. I also actively participate in religious organization to which I'm member. I'm member of  Idir (self help organization) in the kebele where I deposit money. I also actively participate in social responsibilities that concern me. When we were organized to the kebele down to this area, we had access to health centre, education and other social services. But now the kebele is divided in to two and we are lacking these services.","G1",49
"People used to work on 'daguwa' (working together) where residents of kebele work together in farming activity. But now this trend is missing and people are leaving behind their farming field and migrating to urban areas in search of daily labourer work.","G2",50
"We receive good health and educational access. We used to suffer from epidemics and death. But now things are improving and we all are fine.","H2",51
"Regarding health, thanks to God that our health situation has improved over the last three years. Because health extension workers are carrying out their activities better than before and training us about the health of both children and adults. They are educating us about importance of breast feeding. We have been made aware that until the infant reaches 6 months it should not be served food, for its good health. And hence breast fed children grow healthy. Before we were trained about the health of children, our children used to suffer from different diseases. Pregnant women are also made aware to make follow up about their status beginning from fourth months after the onset of pregnancy up to sixth months. They also give birth at health institutions. Hence the health of children, pregnant women and also the health of adults has improved. They are no longer being affected by diseases such as malaria, as it was before. God is doing great things for our health through health extension workers. Regarding hygiene we were taught to keep drinking water clean. And also we have been trained to make a toilet equipped with necessary toilet materials. Now all toilets are built well and there are so many toilets built accordingly in towns. People keep water and environmental sanitation very well. We are doing well in this regard. But regarding health insurance service we do have problems. People go to hospitals to be treated in referral. However people who need to be treated through health insurance in hospitals are not being treated well. There is a delay to provide service to people who are treated through the health insurance scheme. Drinking tap water flows from Damot mountain. We have been drinking tap water flowing from damot mountain for three or four years now. It is being served in this school and we also use it for sanitation. For other activities we use well water. I have it in my compound. I lock and open to use it. Regarding water the situation is very good. Our children are following their education very well. However the complaint is that because of unknown reason a KG (kindergarten) school established by Wolaita Development Association interrupted its service. Students who started their education are affected by this. Other KG schools are not educating well. Regarding other school levels, we are being educated very well. But my question is about changing in school curricula; that is high school completion grade 10 and 12. That can affect our life. For instance, I am married and what if I fail learning in grade 12, what will I do?  Should I sit idle at home? How does the government consider this?","B1",52
"Over the past three years farming failed. I don't know whether it is related to the weather or seed. Every cultivation activity failed though there is slight improvement in this year. I don't know the reason why over the past three years there is no crop in the backyard of farmers. We sowed maize but it also failed. I don't know whether it is related to weather problem or seed. I have farm land but it is not yielding. We have not been able to use grain from our farm yard. I sowed vegetable seed that I got from Send A-Cow  Organization. It grew very well but I did not continue cultivating it because I was busy doing other things and my children are not grown up enough to help me and my husband too engaged in his works. So I stopped cultivating vegetable seeds. Vegetable seed is useful but I stopped. There is no other grain. We have almost stopped farming. Some years ago, we used to cultivate teff, wheat and maize but now the land is empty because it is not cropping season. The production decreased over the past three years may be because of weather change and rainfall related problems. Because our grazing land is taken by electricity station and school expansion, I sold all animals I had and remained only with one milked cow. Following the training from agricultural extension workers, I engaged in poultry and benefited highly from it. Poultry is different from what the rest of neighbours doing. I didn't produce anything for sale. I did never do that before even, because the production did not surpass home consumption. Previously, there were times when we did not eat our lunch after breakfast but now it is better. Now people can eat three times a day by doing anything including labour works. Now it is becoming better. I myself now can eat three times a day but previously I was struggling. I used to pass a day without any meal before. Now though there is scarcity of grain, people have money. What is your staple food? We use different products of false banana or inset from which  we prepare traditional foods such as blanduwa, uncha bacira. And also we use traditional foods such as boyna (yam) and sweat potato.","C1",53
"It increased and is better than before. The reason is not because of agricultural activity but engaging in other works (non-farm activities), including labour works that enables people to buy more food. As farm productivity has decreased, people began to engage in other livelihood activities including labour work. Now food consumption has been improved.","C5",54
"Our income depends not on petty trading but on labour work. Income based on labour work has increased compared to what it had been before. It is because the price of commodities has increased, the wage for labour has also increased. In the past three years I have engaged in poultry production to earn income. 'How you began it?'. The agricultural extension workers advised me to do so. Yes, I also used to engage in trading coffee but stopped it now. It is because I am busy in other activities such as for instance, I am a student, I look after the children and I also have house chore activities.","D1",55
"The household expenditure has increased in the past three years. The reason is because price for purchasing grain has increased. The main thing that we spend money on is to purchase grain. Yet we have started saving in kebele and other saving associations, but all are interrupted now. An organization called WONTA (Wollayita credit association) organized about twenty women where I was secretary to save money and we had been saving for long period of time but the organization stopped running its activities. The money we saved became meaningless as there is no body to follow our situation. In addition another saving organization which was established for disabled people is no more working. It is Send A Cow organization that is doing well in terms of saving. They are helping the community to own different cattle and also provide drinking water services. Others organizations stopped and the money saved become useless. Particularly an organization called WONTA (Wollayita saving association) affected us very much and there is no responsible body to question. We don't know where they are from. Once they assembled many women for training and paid 15 birr per a day and the women quarrelled over the payment. Since then they disappeared. Send A cow organization is benefitting us very much.","E1",56
"Yes, there is change. For instance, I dropped out from school while I was with my parents but I resumed it now. My ability to control and decide over property has increased. For instance, previously it was my husband who was a sole decider regarding properties and other household matters but now we consult each other. The reason is because the government protects women's rights. Now women have right and can own property, and generate income and manage their money. Previously, the men said that 'the women shouldn't manage more than 100ETB'","F1",57
"Due to my improved livelihood and support from government.","F3",58
"People work together better than before. Whether it is trading or anything else people work together through networks of 1-5 grouping and also use the network to discuss different issues.","G2",59
"It is becoming better. For instance, the government provide training about saving. As a result many people began to save their money. People have become wise.","H2",60
"Our capacity to own animals also decreased due to the loss of the common grazing land. As I am poor I own cattle in share with other rich people (engaged in share-rearing). However, the share holders took back their cattle due to scarcity of common grazing land. I wish I could rear my own but now I don't because I don't have money to buy any.","C1",61
"I am not suffering from hunger though I get nothing from my farm land. I rent-out my farm land so I use income from this together with what I earn from trading to buy food stuffs from market. For hungry season we buy maize to boil and eat it. 
We mostly eat Wollayita cultural food and we depend on the market to buy. Most of the time we eat sweat potato, Irish potato, uncha, boyna (yum). We eat all these food stuffs with similar frequency. I buy these using the profit I get from trading grains in the market. We also sometimes roast wheat. This happened before three years but now it is better. We eat now different food stuffs alternatively. Now it is better.","C7",62
"Sometimes community members gather to discuss over different issues. We discuss about both good opportunities as well as problems in our community. This trend changed in positive ways over the past three years. The reason is that people accept what is told by the officials. People also stopped blaming and insulting each other.","G2",63
"Praise the lord! There has been no health problem over the last three years. We weren't sick even before three years. Both adults and children are healthy. Our personal hygiene and environmental sanitation is very good. Me and my children are good at that. This is manifested by our health and the way we prepare and eat our food. My children wash their clothes with soap. The reason for this is that my children are literate. I buy them soap to keep their personal hygiene. Thanks to God, we keep our sanitation. We have access to tap water and also we have well water in front of our house. I dug the well water but an organization called Send A Cow came and cemented it. The well water is used for sanitation and animals. For drinking water we use tap water. Praise the lord, my children are educated well. The one in the sixth grade is attending well. I am advising him not to waste his time playing and I fulfil what he needs. I buy him books. I advise him about sanitation. I advise them to learn strongly, telling them my illiteracy not  be repeated.","B1",64
"I have small farm land. Even though I plough, its production has decreased  over the last three years. I don't know whether it is related to the problem of rainfall. I sowed different crops but they all failed. The production of farming is decreasing. Previously we used to grow corn and it used to yield good results. I also planted sweet potato, it also used to give good production, but through time both have decreased. Now it is not a period of cultivation and the farm land is already harvested. And we are praying to God for better cultivation period to come and now we are consuming 'boyna'(yam) that we planted on small plot of land during last season. Apart from this, we depend on labour work to support our life. Send A Cow organization distributed us some seeds of vegetables. I sowed it and tried to water it using the well water but it did not grow. I do not know whether this is related to the problem of the seed. Before that I had cultivated cabbage and carrot but it failed. Fruit cultivation also did not work out. We don't own cattle as we used to own before. I had an ox and two cows but I sold them. I used the money to build a house for my child in Wollayita Sodo. Some remaining animals are still under my possession.","C1",65
"I earn money hustling. And from what I get, I save in Idir (self help association mainly during funeral) for my death and life. I also save some amount of money to be used for meskel festivity (new year). In addition I save some amount to be used for clothing of my children. Now my income situation is better than before. I transport water using donkey and sell it. I began this activity over the last years and it is getting better. I have started it by my own creativity. Previously I used to engage in labour work but stopped after I started this new activity: transporting and selling water to the urban dwellers.","D1",66
"My income depends on transporting and selling water to urban dwellers using a donkey. I have no other means of getting income than this. My households ability to gain income is decreasing. It is because the living cost is different from the past, the weather condition is also different. Everything is different from what it was when I was young. Things are vanishing. My energy is also weakening.","D4",67
"The expenditure has generally increased. Especially I spend much for my children's education. Other significant expenditure is for Idir. We also spend for taxation and for our family's daily expenditure. Expenditure for children's education reduced or changed because they began to support themselves. I have a saving at neighbourhood basis that is to be used for schooling of children, their clothing and to be used for meskel festivity. I started saving this year.","E1",68
"My ability to purchase is weakening. The reason is I have problem of financial stress which is further aggravated with my aging.","E4",69
"When farming season comes we work together. And also when, in case death happens, we facilitate mourning and burial ceremonies. The way we work together is getting better because modernity is developing. I did participate and support the construction of the school in my labour. We also contributed fees for its construction. We did it last year.","G1",70
"Thank God, our health situation has improved over the last three years. It is because we keep our sanitation and hygiene well. We also treat our children properly. We eat our meals on time. We keep sanitation of children and environment. Health extension workers trained us to do so. We have tap water in the compound of the kebele but the problem is it does not meet the demand and also it is not served regularly. So we go to a distant area to fetch drinking water.","B1",71
"We have no farm land. Though we tried sharecropping arrangement, we stopped as it wasn't productive enough. Thus, we engage in other activities. My husband has another activity to do and also I engage in petty merchandise activity. Totally we have no farm land.  So we produce nothing in our backyards. We have cattle. We did not see their result yet as we  bought them recently, last year. The farming activity has been declining in past years. We used to plant boyna (yam) which would not exceed one month consumption and we also used to cultivate cabbage in our backyard. Now it is better than before because we hustle to have variety of food.  Previously, we used to eat one type of food frequently. We frequently used to eat sweet potato and boyna (yam). however, now we diversify and eat potato, corn and wheat flour and also cabbage alternatively. What we eat now is better than what it was before.","C1",72
"The income from farming decreased because it is related to variability and insufficient rainfall. The erratic rainfall, even amid the farming season, disappears when what we sow or planted has begun to bud. For instance, the wheat that we sowed failed because of the scarcity of rainfall.","C3",73
"Yes, there is good change because we embark on new income earning activity, for example, trading of coffee bean to buy food. Previously, we didn't engage in trading of coffee bean to buy food.","C5",74
"I engage in petty trade such as egg, cottage cheese, coffee bean to support our lives. We have nothing other than our market and God. My husband was jobless. I was a sole bread winner. But now we have changed in terms of our livelihood. Previously, we used to sit idle but now we earn some income. Using the income from my husband that he earned working as a foreman and from my petty trading, we bought a Bajaj vehicle. Now my husband generates income from the Bajaj vehicle.","D1",75
"It is reducing because our children are at school and we are fulfilling them what they need. We provide them pens and  exercise books. We also spend money for our social life. Now the expense is high as the household size has increased. Previously, we were alone, I and my husband, with no children.","D4",76
"No, I do not have significant possessions. What we have now is Bajaj and calf that we have possessed in the last three years.","E2",77
"Increasing expenditure with stagnant and meagre income creates financial stress.","E4",78
"People are developing good attitudes towards cooperative working. We have already school for our community. We do have also tap water in the kebele compound though it is at distant for us. Thus, we drink pump water that is near to us. Though I don't know the reason, the relationship is getting weaker. They [kebele officials] organized  30 adjacent households as one team having one leader. This further formed a group of 1-5 network. However, all this grouping and networks have been no more functional.","G4",79
"It is becoming good. The reason is we are being trained about our hygiene, toilet, food, though the awareness creation does not have consistency.","H2",80
"Farming is not as rewarding as it used to be. Farmers are losing rather than gaining. The land does not yield good result as before. The officials do not distribute fertilizer in good manner. Fertilizer is not distributed timely and also the fertilizer we bought from the market has not been productive. I am sharecropped out my land. As my husband is not with me I cannot cultivate because I am women. The problem with sharecropping is that these who share with me come latel. They come to plough the land late after they have already ploughed their own. This leads to less production at the end of the day. Had we cultivated timely it could give us good production . The production even reduced from what it had been before. The sharecroppers have no sense of ownership. Moreover, the soil fertility also decreased.  I did never sale farm products. Even it is not sufficient for my home consumption. previously we used to eat meat, cottage cheese, and butter. But now we don't. Women cannot afford to eat meat with absence of men's or husbands' financial support.","C1",81
"Income from farming has reduced from what it had been before. Because people are treacherous and the fertility of the soil has also declined and doesn't yield as before. Previously farmers had three to four stores of grain but now farmers struggle to feed themselves. Fertilizer distribution is unfair as they first distribute to rich people. Then the poor lately buy fertilizer form the market which has less quality. Thus, coupled with late seed sowing, leads to less production.","C3",82
"I engage in petty trade to raise up my children. It could be a fulfilment of the prophecy in the bible. We survive long because of what we had before. Trading activity was better before than now. Now there is less demand for merchandized goods. Thus, the money we have earned from trade has decreased.","D1",83
"The expenditure outweighs our income. If the income is 30 birr the expenditure is 60 birr. The reason is that the prices of goods that we buy from the market has increased while the income we earn couldn't increase proportionally. We spend much of our income to purchase food items. We pay for everything except house and water. I save from what I get, if I earn 20 birr, I save 10 birr from what I earn. I save it to use for medication, in case if my children get sick. Yes, I borrow money to trade and I have outstanding debt that I have to pay back.","E1",84
"Declining agricultural productivity and increasing living cost.","E4",85
"The health condition of my family is very well. I'm working as 'Bego melekitegna' (Role model) in the kebele for my good achievement and performance.  We always keep the water in the container closed. We don't suffer from diarrhoea as we used to suffer some few years ago. The white people came here and demonstrated to us how to filter water using sand and 'halakuwa' (herbal plant). My children also regularly go to school though they complain about learning in a foreign language [English] as medium of instruction.","B1",86
"The farming is good now since the past few years. We used to purchase food items from the market but now we produce from the farm. We use biogas and solar following the support we got from Omo micro-finance. So we are now leading better life. The compost we got from biogas helped us to increase the fertility of land and to reduce the cost of fertilizer. We have started producing bean which was very productive in Humbo woreda. We also produce vegetables like carrot, tomato and others getting support from Wolaita development association. The vegetables helped us to supplement our livelihood in past two years though its productivity is declining this year due to heavy heat from sun. Though some of the cattle died due to disease, I still have some more cattle. It is three people with me who are using biogas technology in our locality while the other members of the community refused to use it. The biogas is helping us to prepare food, to get light, as well as to increase fertility of the soil.","C1",87
"We eat very well, better than previous times. Many people are improving their livelihood since the Wolima organization (Wolayita development association) started intervention here. We don't suffer from hunger as we did in previous times.","C5",88
"We are using biogas, solar which enhanced our productivity. We are also using compost instead of fertilizer. So increased production helped us to eat better. We also produce vegetables.","C7",89
"We have to buy textbooks, pens and other related costs for our children. The debt for fertilizer is also another thing where we spend significant amount of money. Thanks to God, there is no such heavy thing that erodes our income. I'm also paying the debt for biogas. We save money in 'shufuw' (local inform association to save money) mainly for purpose of mesqel festival (new year). It has been three years since I started saving in Wolima organization (Wollayita development association). We save for the money that would help us to deposit some assets for our children in the future and for emergencies cases. I have borrowed money from Wolima to buy biogas.","E1",90
"I'm leader of network of 30 people. I coordinate 30 households on matter of health related issues such as on how to keep hygiene, sanitation, how to feed children and other life skills. They have chosen me because of my performance and good health condition I ensured in my family, as well as in my 1 to 5 group members, where I am also a leader.","G1",91
"Due to the community based mobilization, people better able to discuss and work together on the matters that concern them.","G4",92
"I have got biogas from Wolima that enabled me to avoid fertilizer loan. The saving and credit services has also helped me to improve my livelihood.","H2",93
"I hope that I can improve my livelihood in the future. I came to learn new things as I worked with the send a cow organization. Send a cow organization took me to Hawassa where I learned about saving. For example I went to the Amahara region where I witnessed people who started saving with 25 and 50 cents and now accumulated 25 birr and above. So I hope that I will improve my life and also teach others about saving, sanitation and other issues.","H3",94
"Important link to Send a Cow - learned about saving, help me to learn new skills so as to improve my livelihood.","I1a",95
"Though we are frequently getting sick, thanks to God we are still alive. There are people who were fine but suddenly died for unknown reasons. So I'm thankful to my God that we are still alive. The health workers also taught us about the  importance of keeping sanitation and hygiene. So we have built a toilet and we don't defecate in an open field. We have also come to learn that if there is garbage in our house it would host flies and then the flies would contaminate the food. The contaminated food would cause many diseases, so we avoid leaving the food uncovered. We don't also put the food items on the ground. We usually fetch water from Litala river but sometimes we buy from tap water. We always keep the jar containing drinking water in a clean place.","B1",96
