,label,cluster
126,<U+2B06> additional needs,NA
127,"volunteers have to deal with
difficult issues",NA
128,"<U+2B06> pressure to work in
partnerships",NA
129,<U+2B06> working in partnerships,NA
130,<U+2B06> clients with language needs,NA
131,"<U+2B06> need for paid-for translation
services",NA
132,younger level 4,NA
133,<U+2B06> representative level 4,NA
134,<U+2B07> experienced level 4,NA
135,voscur advert,NA
136,no response in recruiting level 4,NA
137,<U+2B07> campaigning,NA
138,<U+2B07> networking,NA
139,"social media reframes client
profiles",NA
140,"public attitudes towards clients
improved",NA
141,"local people too busy with job
searches",NA
142,"<U+2B06> price sensitivity amongst
customers",NA
143,"plan for provision of online
courses",NA
144,refugee crisis,NA
145,austerity policies,NA
146,increased collaboration,NA
147,help with piloting programme,NA
148,"benefits for other orgs and their
clients",NA
149,"increased employability of
volunteers",NA
150,introducing new concept,NA
151,initial lack of trust,NA
152,strategic support from Voscur,NA
153,easy to access support,NA
154,increased capacity of org,NA
155,<U+2B06> visibility to agencies,NA
156,<U+2B06> potential to influence agencies,NA
157,<U+2B06> branding,NA
158,improved website,NA
159,more staff / people,NA
160,<U+2B06> time for core services,NA
161,"better understanding how to use
associates",NA
162,"increased political threats to
vulnerable groups",NA
163,"listening to / support for
vulnerable groups",NA
164,"<U+2B06> response from vulnerablel
groups",NA
165,<U+2B06> staff with relevant profile,NA
166,"changed working context (in
schools)",NA
167,"better adapted to (potential)
clients",NA
168,difficult to fund recruiting,NA
169,increased requirements,NA
170,used voscur website,NA
171,<U+2B06> representative staff,NA
172,growth in organisation,NA
173,need for board with right skills,NA
174,changing roles in government,NA
175,"<U+2B07> potential to influence
government",NA
176,"government unaware of problems
facing clients",NA
177,<U+2B06> range of issues addressed,NA
178,"positive image of org - we are
fabulous",NA
179,change in local policy,NA
180,<U+2B07> for specific activities,NA
181,<U+2B07> support for clients,NA
182,"<U+2B06> service provision through new
service type",NA
183,<U+2B06> cost of traditional services,NA
184,<U+2B06> scale of work,NA
185,"financial pressure on big
potential partner organisations",NA
186,collaboration is risky,NA
187,<U+2B07> motivation to collaborate,NA
188,time pressure on level 3,NA
189,changing requirements,NA
190,need for strategic review,NA
