"from","to","row_number()","label","note.x","strength","trust","sensitivity","specificity","statement_id","quote","attribution","combo.type","definition.type","package","packageNote","fun","N","arrows.middle.enabled","chain_id","domain","attributionValence","attributionExplicit","arrows.to","wstrength","text","code","source_id","female","note.y","domain attributed hh","q","qid","respondent","smooth.type","smooth.roundness","smooth.enabled","frequency","auto_group_key","auto_group","width"
14,15,11,"",NA,0.5,0.5,NA,NA,"3","Voscur (Mark) helped us identify that we didnt in fact have any capacity to do networking, and suggested a follow-up free Voscur consultancy on business planning",NA,"","",NA,NA,"",NA,FALSE,NA,"",NA,NA,TRUE,0.25,"The support we received from Voscur in 2017 was very helpful. Our initial approach was a low key enquiry asking for us to be put in touch with similar organisations in Bristol. Voscur (Mark) helped us identify that we didnt in fact have any capacity to do networking, and suggested a follow-up free Voscur consultancy on business planning. This led to us making an organisational investment in a new worker and a new board member. It was easy to find the support when we knew it was there (in terms of the consultancy) but we wouldnt have thought of looking for it. Its helped us strengthen our strategic capacity, and we hope in the long-term its made us more sustainable.",NA,NA,NA,NA,"Access to support services","What have been the most significant challenges your organisation has faced over the two years? a) Did you seek help to resolve these challenges from external people or organisations?b) If so, what sort of support - in which areas?c) How easy was it to find support?d) If you found the right support, where from?What impact did this have on your organisation and your clients?e) If you didn’t find the right support, what impact did this have on your organisation and your clients?","D1","CS26","continuous",0,TRUE,1,"3",1,3
15,16,12,"",NA,0.5,0.5,NA,NA,"3","Voscur consultancy on business planning. This led to us making an organisational investment in a new worker and a new board member.",NA,"","",NA,NA,"",NA,FALSE,NA,"",NA,NA,TRUE,0.25,"The support we received from Voscur in 2017 was very helpful. Our initial approach was a low key enquiry asking for us to be put in touch with similar organisations in Bristol. Voscur (Mark) helped us identify that we didnt in fact have any capacity to do networking, and suggested a follow-up free Voscur consultancy on business planning. This led to us making an organisational investment in a new worker and a new board member. It was easy to find the support when we knew it was there (in terms of the consultancy) but we wouldnt have thought of looking for it. Its helped us strengthen our strategic capacity, and we hope in the long-term its made us more sustainable.",NA,NA,NA,NA,"Access to support services","What have been the most significant challenges your organisation has faced over the two years? a) Did you seek help to resolve these challenges from external people or organisations?b) If so, what sort of support - in which areas?c) How easy was it to find support?d) If you found the right support, where from?What impact did this have on your organisation and your clients?e) If you didn’t find the right support, what impact did this have on your organisation and your clients?","D1","CS26","continuous",0,TRUE,1,"3",1,3
3,17,13,"",NA,0.5,0.5,NA,NA,"3","Voscur (Mark) helped us identify that we didnt in fact have any capacity to do networking",NA,"","",NA,NA,"",NA,FALSE,NA,"",NA,NA,TRUE,0.25,"The support we received from Voscur in 2017 was very helpful. Our initial approach was a low key enquiry asking for us to be put in touch with similar organisations in Bristol. Voscur (Mark) helped us identify that we didnt in fact have any capacity to do networking, and suggested a follow-up free Voscur consultancy on business planning. This led to us making an organisational investment in a new worker and a new board member. It was easy to find the support when we knew it was there (in terms of the consultancy) but we wouldnt have thought of looking for it. Its helped us strengthen our strategic capacity, and we hope in the long-term its made us more sustainable.",NA,NA,NA,NA,"Access to support services","What have been the most significant challenges your organisation has faced over the two years? a) Did you seek help to resolve these challenges from external people or organisations?b) If so, what sort of support - in which areas?c) How easy was it to find support?d) If you found the right support, where from?What impact did this have on your organisation and your clients?e) If you didn’t find the right support, what impact did this have on your organisation and your clients?","D1","CS26","continuous",0,TRUE,1,"3",1,3
3,15,14,"",NA,0.5,0.5,NA,NA,"3","Voscur (Mark) helped us identify that we didnt in fact have any capacity to do networking, and suggested a follow-up free Voscur consultancy",NA,"","",NA,NA,"",NA,FALSE,NA,"",NA,NA,TRUE,0.25,"The support we received from Voscur in 2017 was very helpful. Our initial approach was a low key enquiry asking for us to be put in touch with similar organisations in Bristol. Voscur (Mark) helped us identify that we didnt in fact have any capacity to do networking, and suggested a follow-up free Voscur consultancy on business planning. This led to us making an organisational investment in a new worker and a new board member. It was easy to find the support when we knew it was there (in terms of the consultancy) but we wouldnt have thought of looking for it. Its helped us strengthen our strategic capacity, and we hope in the long-term its made us more sustainable.",NA,NA,NA,NA,"Access to support services","What have been the most significant challenges your organisation has faced over the two years? a) Did you seek help to resolve these challenges from external people or organisations?b) If so, what sort of support - in which areas?c) How easy was it to find support?d) If you found the right support, where from?What impact did this have on your organisation and your clients?e) If you didn’t find the right support, what impact did this have on your organisation and your clients?","D1","CS26","continuous",0,TRUE,1,"3",1,3
18,6,15,"",NA,0.5,0.5,NA,NA,"3","ts helped us strengthen our strategic capacity, and we hope in the long-term its made us more sustainable.",NA,"","",NA,NA,"",NA,FALSE,NA,"",NA,NA,TRUE,0.25,"The support we received from Voscur in 2017 was very helpful. Our initial approach was a low key enquiry asking for us to be put in touch with similar organisations in Bristol. Voscur (Mark) helped us identify that we didnt in fact have any capacity to do networking, and suggested a follow-up free Voscur consultancy on business planning. This led to us making an organisational investment in a new worker and a new board member. It was easy to find the support when we knew it was there (in terms of the consultancy) but we wouldnt have thought of looking for it. Its helped us strengthen our strategic capacity, and we hope in the long-term its made us more sustainable.",NA,NA,NA,NA,"Access to support services","What have been the most significant challenges your organisation has faced over the two years? a) Did you seek help to resolve these challenges from external people or organisations?b) If so, what sort of support - in which areas?c) How easy was it to find support?d) If you found the right support, where from?What impact did this have on your organisation and your clients?e) If you didn’t find the right support, what impact did this have on your organisation and your clients?","D1","CS26","continuous",0,TRUE,1,"3",1,3
16,18,16,"",NA,0.5,0.5,NA,NA,"3","This led to us making an organisational investment in a new worker and a new board memberIts helped us strengthen our strategic capacity, and we hope in the long-term its made us more sustainable",NA,"","",NA,NA,"",NA,FALSE,NA,"",NA,NA,TRUE,0.25,"The support we received from Voscur in 2017 was very helpful. Our initial approach was a low key enquiry asking for us to be put in touch with similar organisations in Bristol. Voscur (Mark) helped us identify that we didnt in fact have any capacity to do networking, and suggested a follow-up free Voscur consultancy on business planning. This led to us making an organisational investment in a new worker and a new board member. It was easy to find the support when we knew it was there (in terms of the consultancy) but we wouldnt have thought of looking for it. Its helped us strengthen our strategic capacity, and we hope in the long-term its made us more sustainable.",NA,NA,NA,NA,"Access to support services","What have been the most significant challenges your organisation has faced over the two years? a) Did you seek help to resolve these challenges from external people or organisations?b) If so, what sort of support - in which areas?c) How easy was it to find support?d) If you found the right support, where from?What impact did this have on your organisation and your clients?e) If you didn’t find the right support, what impact did this have on your organisation and your clients?","D1","CS26","continuous",0,TRUE,1,"3",1,3
17,15,17,"",NA,0.5,0.5,NA,NA,"3","It was easy to find the support when we knew it was there (in terms of the consultancy) but we wouldnt have thought of looking for it. ",NA,"","",NA,NA,"",NA,FALSE,NA,"",NA,NA,TRUE,0.25,"The support we received from Voscur in 2017 was very helpful. Our initial approach was a low key enquiry asking for us to be put in touch with similar organisations in Bristol. Voscur (Mark) helped us identify that we didnt in fact have any capacity to do networking, and suggested a follow-up free Voscur consultancy on business planning. This led to us making an organisational investment in a new worker and a new board member. It was easy to find the support when we knew it was there (in terms of the consultancy) but we wouldnt have thought of looking for it. Its helped us strengthen our strategic capacity, and we hope in the long-term its made us more sustainable.",NA,NA,NA,NA,"Access to support services","What have been the most significant challenges your organisation has faced over the two years? a) Did you seek help to resolve these challenges from external people or organisations?b) If so, what sort of support - in which areas?c) How easy was it to find support?d) If you found the right support, where from?What impact did this have on your organisation and your clients?e) If you didn’t find the right support, what impact did this have on your organisation and your clients?","D1","CS26","continuous",0,TRUE,1,"3",1,3
60,20,18,"",NA,0.5,0.5,NA,NA,"4","We appointed a new staff member in 2019 whos job is systematic coordination. We havent had a non-teaching post for a long time. This is a crucial time to invest, as our 2 longest serving staff will retire by next year. ",NA,"","",NA,NA,"",NA,FALSE,NA,"",NA,NA,TRUE,0.25,"We appointed a new staff member in 2019 whos job is systematic coordination. We havent had a non-teaching post for a long time. This is a crucial time to invest, as our 2 longest serving staff will retire by next year. We also have 2 new board members. Previously we had 3 retired people, but the new board memmbers are in relevant employment with relevant skills. Were still a white, middle class board, so we have a way to go. The changes have been significant at a staff and board level.",NA,NA,NA,NA,"Governance and leadership","Have there been any changes in strategic planning skills and capabilities within the leadership team (including the board) over the last two years?a) If so, what has changed and what drove this change?b) At which level has the change been most significant? Board or senior staff?","E1","CS26","continuous",0,TRUE,1,"4",2,3
21,22,19,"",NA,0.5,0.5,NA,NA,"6","The only formal training comes as part of our contract with the councils learning support team. ",NA,"","",NA,NA,"",NA,FALSE,NA,"",NA,NA,TRUE,0.25,"Our roles are almost all teaching, so the skills required are pretty constant. The only formal training comes as part of our contract with the councils learning support team. We do on-line safeguarding and diversity training as part of our grant conditions. Otherwise, skills have not changed but we are more aware. We do a lot of keeping wup with English and Maths provisions through on-line webinars.",NA,NA,NA,NA,"People and skills","Have the skills required by you and your workforce to deliver your services changed over the last two years? a) Why? b) How have you dealt with this change?","G1","CS26","continuous",0,TRUE,1,"6",2,3
23,24,20,"",NA,0.5,0.5,NA,NA,"6","We do on-line safeguarding and diversity training as part of our grant conditions. ",NA,"","",NA,NA,"",NA,FALSE,NA,"",NA,NA,TRUE,0.25,"Our roles are almost all teaching, so the skills required are pretty constant. The only formal training comes as part of our contract with the councils learning support team. We do on-line safeguarding and diversity training as part of our grant conditions. Otherwise, skills have not changed but we are more aware. We do a lot of keeping wup with English and Maths provisions through on-line webinars.",NA,NA,NA,NA,"People and skills","Have the skills required by you and your workforce to deliver your services changed over the last two years? a) Why? b) How have you dealt with this change?","G1","CS26","continuous",0,TRUE,1,"6",2,3
20,25,21,"","?",0.5,0.5,NA,NA,"5","No - we dont have capacity to engage in influencing. We think this will come in the future, once we are a more sustainable organisation.",NA,"","",NA,NA,"",NA,FALSE,NA,"",NA,NA,TRUE,0.25,"No - we dont have capacity to engage in influencing. We think this will come in the future, once we are a more sustainable organisation.",NA,NA,NA,NA,"Influence","Has there been any change in your organisation’s ability to influence change in the area you work in?a) Have you been proactive in influencing decision makers? (Change could range from local councillors’ interest in the area of work, engaging local community, local/national media coverage, consultations, local/national policy etc.)b) Has it been harder to influence decision makers? If so, what are the reasons for that?","F1","CS26","continuous",0,TRUE,1,"5",1,3
60,26,22,"",NA,0.5,0.5,NA,NA,"7","Our new staff post has opened up informal training - we have now been taught to maintain a proper database of students for all staff to use. ",NA,"","",NA,NA,"",NA,FALSE,NA,"",NA,NA,TRUE,0.25,"Our new staff post has opened up informal training - we have now been taught to maintain a proper database of students for all staff to use. Weve also had social media training.",NA,NA,NA,NA,"People and skills","Have your staff’s skills and capacity changed over the last two years?a) Why and in what way?b) Have you invested in training your staff? If so, what difference has it made?c) What impact has this had on your service delivery?","G2","CS26","continuous",0,TRUE,1,"7",2,3
26,27,23,"",NA,0.5,0.5,NA,NA,"7","Our new staff post has opened up informal training - we have now been taught to maintain a proper database of students for all staff to use. ",NA,"","",NA,NA,"",NA,FALSE,NA,"",NA,NA,TRUE,0.25,"Our new staff post has opened up informal training - we have now been taught to maintain a proper database of students for all staff to use. Weve also had social media training.",NA,NA,NA,NA,"People and skills","Have your staff’s skills and capacity changed over the last two years?a) Why and in what way?b) Have you invested in training your staff? If so, what difference has it made?c) What impact has this had on your service delivery?","G2","CS26","continuous",0,TRUE,1,"7",2,3
60,22,24,"",NA,0.5,0.5,NA,NA,"8","Our staff numbers havent changed - we still have 8 posts, but the new post is 3.5 dpw which is our biggest post, and only non-teaching one",NA,"","",NA,NA,"",NA,FALSE,NA,"",NA,NA,TRUE,0.25,"Our staff numbers havent changed - we still have 8 posts, but the new post is 3.5 dpw which is our biggest post, and only non-teaching one. We also have 5 tutors, and an additional 2 tutors with management responsibilities. We have one new volunteer role to support social media, and one new front of house volunteer who helps with training administration. We also have 2 new board members.",NA,NA,NA,NA,"People and skills","Over the last two years has the number of people working or volunteering for your organisation changed? a) Why?b) Has this had a positive or negative impact on your ability to deliver?","G3","CS26","continuous",0,TRUE,1,"8",2,3
29,22,25,"",NA,0.5,0.5,NA,NA,"8","additional 2 tutors with management responsibilities",NA,"","",NA,NA,"",NA,FALSE,NA,"",NA,NA,TRUE,0.25,"Our staff numbers havent changed - we still have 8 posts, but the new post is 3.5 dpw which is our biggest post, and only non-teaching one. We also have 5 tutors, and an additional 2 tutors with management responsibilities. We have one new volunteer role to support social media, and one new front of house volunteer who helps with training administration. We also have 2 new board members.",NA,NA,NA,NA,"People and skills","Over the last two years has the number of people working or volunteering for your organisation changed? a) Why?b) Has this had a positive or negative impact on your ability to deliver?","G3","CS26","continuous",0,TRUE,1,"8",2,3
30,31,26,"",NA,0.5,0.5,NA,NA,"9"," programme for people with mental health issues has grown hugely due to increasing social isolation.",NA,"","",NA,NA,"",NA,FALSE,NA,"",NA,NA,TRUE,0.25,"Our services have remained the same but weve seen a massive upsurge in demand. This comes with some challenges - its double edged as our programme for people with mental health issues has grown hugely due to increasing social isolation. There is also a huge demand for affordable refurbished bikes, but we cant get enough donations of old bikes, so the refurbed ones go out as soon as theyre done. We have no sitting stock. I think the climate crisis awareness has also led to an increase in the number of people cycling. We will support 4000 more people this year than we did in 2017 (more than doubled our reach). However, we have the same income to deliver all this.",NA,NA,NA,NA,"Service delivery","Have the services that you provide as an organisation changed over the last two years, and if so how and why?a) Have you seen more or less demand for your services? Why?b) Have the needs of your clients changed at all? c) If you so how have you responded to that?","B1","CT15","continuous",0,TRUE,1,"9",1,3
31,32,27,"",NA,0.5,0.5,NA,NA,"9","r programme for people with mental health issues has grown hugely due to increasing social isolation. There is also a huge demand for affordable refurbished bikes, but we cant get enough donations of old bikes, so the refurbed ones go out as soon as theyre done. We have no sitting stock. I think the climate crisis awareness has also led to an increase in the number of people cycling. We will support 4000 more people this year than we did in 2017 (more than doubled our reach).",NA,"","",NA,NA,"",NA,FALSE,NA,"",NA,NA,TRUE,0.25,"Our services have remained the same but weve seen a massive upsurge in demand. This comes with some challenges - its double edged as our programme for people with mental health issues has grown hugely due to increasing social isolation. There is also a huge demand for affordable refurbished bikes, but we cant get enough donations of old bikes, so the refurbed ones go out as soon as theyre done. We have no sitting stock. I think the climate crisis awareness has also led to an increase in the number of people cycling. We will support 4000 more people this year than we did in 2017 (more than doubled our reach). However, we have the same income to deliver all this.",NA,NA,NA,NA,"Service delivery","Have the services that you provide as an organisation changed over the last two years, and if so how and why?a) Have you seen more or less demand for your services? Why?b) Have the needs of your clients changed at all? c) If you so how have you responded to that?","B1","CT15","continuous",0,TRUE,1,"9",1,3
33,34,28,"",NA,0.5,0.5,NA,NA,"9","We will support 4000 more people this year than we did in 2017 (more than doubled our reach). However, we have the same income to deliver all this.",NA,"","",NA,NA,"",NA,FALSE,NA,"",NA,NA,TRUE,0.25,"Our services have remained the same but weve seen a massive upsurge in demand. This comes with some challenges - its double edged as our programme for people with mental health issues has grown hugely due to increasing social isolation. There is also a huge demand for affordable refurbished bikes, but we cant get enough donations of old bikes, so the refurbed ones go out as soon as theyre done. We have no sitting stock. I think the climate crisis awareness has also led to an increase in the number of people cycling. We will support 4000 more people this year than we did in 2017 (more than doubled our reach). However, we have the same income to deliver all this.",NA,NA,NA,NA,"Service delivery","Have the services that you provide as an organisation changed over the last two years, and if so how and why?a) Have you seen more or less demand for your services? Why?b) Have the needs of your clients changed at all? c) If you so how have you responded to that?","B1","CT15","continuous",0,TRUE,1,"9",1,3
32,34,29,"",NA,0.5,0.5,NA,NA,"9","",NA,"","",NA,NA,"",NA,FALSE,NA,"",NA,NA,TRUE,0.25,"Our services have remained the same but weve seen a massive upsurge in demand. This comes with some challenges - its double edged as our programme for people with mental health issues has grown hugely due to increasing social isolation. There is also a huge demand for affordable refurbished bikes, but we cant get enough donations of old bikes, so the refurbed ones go out as soon as theyre done. We have no sitting stock. I think the climate crisis awareness has also led to an increase in the number of people cycling. We will support 4000 more people this year than we did in 2017 (more than doubled our reach). However, we have the same income to deliver all this.",NA,NA,NA,NA,"Service delivery","Have the services that you provide as an organisation changed over the last two years, and if so how and why?a) Have you seen more or less demand for your services? Why?b) Have the needs of your clients changed at all? c) If you so how have you responded to that?","B1","CT15","continuous",0,TRUE,1,"9",1,3
35,32,30,"",NA,0.5,0.5,NA,NA,"9"," I think the climate crisis awareness has also led to an increase in the number of people cycling. ",NA,"","",NA,NA,"",NA,FALSE,NA,"",NA,NA,TRUE,0.25,"Our services have remained the same but weve seen a massive upsurge in demand. This comes with some challenges - its double edged as our programme for people with mental health issues has grown hugely due to increasing social isolation. There is also a huge demand for affordable refurbished bikes, but we cant get enough donations of old bikes, so the refurbed ones go out as soon as theyre done. We have no sitting stock. I think the climate crisis awareness has also led to an increase in the number of people cycling. We will support 4000 more people this year than we did in 2017 (more than doubled our reach). However, we have the same income to deliver all this.",NA,NA,NA,NA,"Service delivery","Have the services that you provide as an organisation changed over the last two years, and if so how and why?a) Have you seen more or less demand for your services? Why?b) Have the needs of your clients changed at all? c) If you so how have you responded to that?","B1","CT15","continuous",0,TRUE,1,"9",1,3
