"from","to","N"
"NASFAM failed to buy soya","Reduced income","2"
"Death of household head","Reduced income","1"
"Livestock stolen","Reduced income","1"
"Improved hygiene practices","Reduction in mosquito breeding environments","1"
"Malaria prevention advice","Reduction in mosquito breeding environments","3"
"Government HSA","Improved access to healthcare services","2"
"Diagnosed with HIV/Aids","Improved access to healthcare services","1"
"Poor economy","Economic migration","2"
"Poverty","Economic migration","1"
"Social Cash Transfer not working (Gov)","Cash unreliable","3"
"Poor rains","Reduced farming activity","1"
"Caring for sick relative","Reduced farming activity","1"
"High cost of land rental","Reduced farming activity","1"
"Animal disease","Decrease in livestock","2"
"Selling livestock to meet basic needs","Decrease in livestock","1"
"Birth","Increase in family size","3"
"Increased savings/loans","No longer sell assets to buy food","1"
"Government HSA","Improved water quality","2"
"Access to treated water","Improved water quality","1"
"Increased savings/loans","Reduced impact of pests","1"
"Provision of pesticides","Reduced impact of pests","1"
"Increased animosity in community","Claims that project is satantic cult","2"
"Cash unreliable","Increased borrowing from community","2"
"Increased animosity in community","Increased spending on land rent","1"
"Increased need for land","Increased spending on land rent","1"
"Poor rains","Growing less sorghum","2"
"Disability","Unable to do business","2"
"Lack of nutrition knowledge","Poor nutrition","1"
"Lack of food","Poor nutrition","1"
