text,female,key2,key3,key4,key5,key6,key7,statement,source__id
"We have made countless journeys by car to Clevedon over the years and would really benefit, like so many others, from being able to make the journey by bike. This is not currently feasible given the danger of the fast, narrow and twisty road to cyclists. It would provide a boost to local tourism, promote healthy exercise and reduce car emissions.",0,NA,NA,NA,NA,NA,NA,47,43
I am retired and live  close to the strawberry line and often cycle along it with friends and my daughter who is a wheelchair user. Fortunately her chair converts to a trike so we enjoy using as many cycle paths as possible. An extension of the path to Clevedon would help us and our friends enjoy more of the area and improve our fitness  along many more families in the area. More leisure cycling means less need for motor journeys.,1,NA,NA,NA,NA,NA,NA,48,44
"Parent of 3 children, we would love to be able to cycle to Yatton safely to see it cousins",0,NA,NA,NA,NA,NA,NA,49,45
"I need the path to stay fit, to use my car less, to take my family out on safe bike rides away from main roads, and to attract more tourists to the area to help the local economy",NA,NA,NA,NA,NA,NA,NA,50,46
"We would like a ""Green"" way of accessing shops in Yatton that provide ""green"" alternatives to shopping eg spice shop, co-op, deli. At the moment we occaisonally go by car to Yatton but generally only shop there when passing through. If we could cycle we would go more often and get built in exercise on our bikes. Have you tried cycling across the Moors or on the main Yatton road, it's too unsfe, the traffic is too fast. A cycle path would be great and get us to the Station, when we use the train. WE need more GREEN ways of travelling and this is a good one.",1,NA,NA,NA,NA,NA,NA,51,47
"The cycle ride from Clevedon to Yatton, across the moors is fraught with dangerous speeding drivers who use the straight roads as a race course. The main road from Clevedon to Yatton is winding and often used by heavy trucks so isn't safe for cycling adults or children.  A cycle/pedestrian path would allow Clevedon people to increase fitness without danger!",NA,NA,NA,NA,NA,NA,NA,52,48
"The Clevedon to Yatton cycle path would provide a 'green' and safe connection to the railway station in Yatton, thus helping reduce dependency on the car / doing something positive about the Environmental Crisis. It would also open up great leisure opportunties and help the local economy.",0,NA,NA,NA,NA,NA,NA,53,49
I would use the path to cycle from Clevedon to the station at Yatton. 3 days a week. At the moment I use the car as I wouldn't contemplate cycling on the roads.,1,NA,NA,NA,NA,NA,NA,54,50
I cycle from Yatton to Clevedon using the main road. At times this route is quite busy and dangerous and  I would therefore like to be able to cycle freely and safely on the Strawberry line to Clevedon. As more houses are being built in Yatton surely we should be encouraging families to cycle more on a safe route.,0,NA,NA,NA,NA,NA,NA,55,51
"It would be fantastic to be able to cycle safely to Yatton , to the train  station or to join the strawberry line. I would love to be able to do this with my family and it would really help with the congested roads if people could cycle to the station and commute by train",1,NA,NA,NA,NA,NA,NA,56,52
It would broaden the traffic free availability for walkers and cyclists creating a safer environment for all,NA,NA,NA,NA,NA,NA,NA,57,53
"Anything to give ourselves and children a safe place to ride, walk and enjoy the outdoors should be extremely welcoming.",0,NA,NA,NA,NA,NA,NA,58,54
"Cycling changed my life. I live in Portishead got a job in Clevedon. I couldnt drive and I was lucky enough to be given a cheap bike. I was over weight and out of shape, being able to cycle to work meant that I got much fitter but also meant I had an inexpensive way to get to work. My career has gone from strength to strength all because I could cycle to work. Cycling empowers people and opens up new opportunities. Cycle lanes like the one proposed are integral to getting people on bikes.",0,NA,NA,NA,NA,NA,NA,59,55
Safety for my grandchildren,1,NA,NA,NA,NA,NA,NA,60,56
"It'd be lovely to have a traffic free and safe way to cycle or walk to Chevron from Yatton.  I'd certainly take advantage of it. At the current time, I don't feel safe cycling to Clevedon on the road.",1,NA,NA,NA,NA,NA,NA,61,57
"We are keen cyclist that like to cycle with grand children in a safe and enjoyable traffic free path.<br /><br />It would be our nearest cycle route.<br /><br />In the summer we always cycle the strawberry line, but currently have to load and transport loads of bikes. Reduce carbon emissions.<br /><br />Cycle power !!",1,NA,NA,NA,NA,NA,NA,62,58
I run and cycle the path from Congresbury to Yatton at dawn every weekend and some days when I am on leave. It is very therapeutic to see deer and birds on a misty morning. How much more beautiful this experience could be if the path could go all the way to the coast!,0,NA,NA,NA,NA,NA,NA,63,59
"I would like to commute from Yatton train station into Bristol, helping to reduce the amount of traffic in Bristol and pollution - however I cannot safely cycle or run to Yatton from Clevedon and so rarely do this as I have to drive and pay for parking which makes it less environmentally friendly and more costly than just driving into work.",NA,NA,NA,NA,NA,NA,NA,64,60
"I live on the Strawberry Line and I think connecting it to Clevedon would only add to its appeal for families; walkers and cyclists - it is a beautiful path that everyone can enjoy, traffic free - and it creates a haven for wildlife amongst all the current building that's going on - a lovely, safe escape.  To get to Clevedon from the Strawberry Line in Yatton is extremely dangerous, having to cycle; walk or run along the Moor Road - so many people would use this new path - please make it happen for so many people in Yatton and Clevedon - and beyond!",1,NA,NA,NA,NA,NA,NA,65,61
we Have recently moved to Yatton from Clevedon and my eldest 2 sons go to school in Clevedon and would like to ride to school in the summer but have no safe route to get there! This cycle path would be a massive help towards them safely riding to and from school,0,NA,NA,NA,NA,NA,NA,66,62
We need a cycle path that joins the Strawberry line at Yatton due to the ever increasing amount of traffic that is now using the main road between Clevedon and Yatton.Car and lorry drivers seem to  ignore any cyclist using this road.,0,NA,NA,NA,NA,NA,NA,67,63
"Completing the strawberry line from Clevedon nto Yatton would mean that I could finally cycle everyday to work safely, taking one more car off the roads. I would also be able to take my children on weekend bike rides without first having to drive to Yatton.",0,NA,NA,NA,NA,NA,NA,68,64
"Yatton station and it's amazing Strawberry Line Cafe is a marvellous hub for cycling that riders of all skill levels can enjoy. Clevedon is a beautiful destination for committed riders willing to cross Kenn Moor's narrow, unlit roads that many drivers use ignoring the speed limit. A cycle path link would gift beautiful Clevedon with the same ubiquity and safety as Yatton and be a huge benefit to the local tourist industry.",0,NA,NA,NA,NA,NA,NA,69,65
"Commuting to central Bristol is challenging. Public transport is poor. There is very little well paid skilled work in Clevedon. The nearest rail station is Yatton, parking is limited and using a car non environmentally friendly. Safe cycling and waking access is essential.",0,NA,NA,NA,NA,NA,NA,70,66
It would be a safe cycle route for me and my family to enjoy together getting fresh air and exercise while having fun. We also have relatives in Yatton and we live in Clevedon so its perfect for keeping in touch,NA,NA,NA,NA,NA,NA,NA,71,67
We need the safest option for young ones to be able to avoid roads with cars and have peace of mind that they would be on a walking/cycle path and be safe,NA,NA,NA,NA,NA,NA,NA,72,68
The Strawberry line is the most important and valuable asset we have in Yatton  and must be protected and extended for all to enjoy.,0,NA,NA,NA,NA,NA,NA,73,69
"I am a   social cyclist.  I will not use the clevedon to yatton road, it is way to dangerous, but I would be happy to take planners and funders along the route and then ask them, ""would you take your family along this road"".   A safe route will encourage people from Clevedon to engage with the Strawberry Line and improve health and wellbeing.  What is not to like?",0,NA,NA,NA,NA,NA,NA,74,70
"The only way to travel to Yatton from Clevedon is by car, or to be able to access the strawberry line from Yatton. The road to Yatton from Clevedon is far too dangerous to cycle. In this day and age when we are trying to reduce our carbon footprint and increase our health by doing more exercise initiatives like this are really important.",NA,NA,NA,NA,NA,NA,NA,75,71
"I teach young riders, so having this kind of path is perfect for helping them do distance, safety, considerate and amazing them in how far they can travel under their own power.",0,NA,NA,NA,NA,NA,NA,76,72
"As a Clevedon resident it is so frustrating, costly and environmentally unfriendly to have to drive to Yatton to join the Strawberry Line. The whole family would be able to access the lovely countryside whether walking or cycling and would bring many more customers to the wonderful Strawberry Line Cafe that provides vital support and work opportunities for people with Learning Disabilities....inclusive community at its best!",NA,NA,NA,NA,NA,NA,NA,77,73
My husband has recently been diagnosed with cancer and is trying to keep fit. To be able to walk or ride his bike safely along the path would be ideal.,1,NA,NA,NA,NA,NA,NA,78,74
Im in my 60s and I am not very confident in the road so this would be a nice safe place to ride and enjoy the countryside,NA,NA,NA,NA,NA,NA,NA,79,75
"I love walking along the strawberry line but find it annoying that I have to drive to yatton to start the walk,  I would prefer not to use my car and start the walk on a car free route from clevedon.  <br /><br /><br /><br />I only ever cycle on designated cycle paths and would greatly appreciate the opportunity to be able to cycle along the Strawberry line cycle route.",1,NA,NA,NA,NA,NA,NA,80,76
"I often get off the train at Yatton with my Brompton and Cycle to Cheddar on the delightful traffic free Strawberry Line. I would love to do the same To Clevedon. On a safe off-road Route. Just what the Area needs for Connecting Communities, with sustainable forms of Transport for Adults and Schoolchildren.and cutting down on your Carbon Footprint",NA,NA,NA,NA,NA,NA,NA,81,77
"I moved to Sandford 2 years ago and am an avid cyclist and regularly use the strawberry line for social rides with my wife and look forward to taking my new born son on it when hes old enough to go in a trailer and eventually get him on a bike. The roads around Sandford are not conducive to safe cycling, especially with all the new infrastructure and developments going on now and in the future so the strawberry line is a haven! For it to be extended would be an incredible addition to allow us to go on extended days out.  If was possible to link with Festival way, it would make it more feasible for me to commute by bike into Bristol which currently is not a particularly attractive nor safe proposition.<br /><br /><br /><br />There are numerous benefits to extending",0,NA,NA,NA,NA,NA,NA,82,78
I  commute every day of the week from Clevedon to Yatton train station.  If there was a safe cycle route I would definitely be use. Keeping me active and healthy pluss keeping less traffic on the road causing more pollution .,1,NA,NA,NA,NA,NA,NA,83,79
As a family with young children and no car it is hard to find anywhere to ride our bikes that are traffic free. We have used the Strawberry line to access the Mendips and it will be fantastic if we can get to Clevedon and the seaside too. All using sustainable transport!,1,NA,NA,NA,NA,NA,NA,84,80
I work at a large hotel in Yatton and travel most days but would never ever cycle on the road it is dangerous and extremely busy  with heavy lorries and sheer volume of traffic.,NA,NA,NA,NA,NA,NA,NA,85,81
I walk a lot and it would be fabulous to be able to set off from home in Clevedon rather than having to drive to Yatton and park to access safe walking. It would be better for the environment too and open up walking / train access to the wider countryside. All round excellent idea.,1,NA,NA,NA,NA,NA,NA,86,82
"My husband has a serious heart condition which means that he can no longer exercise at the gym. Walking is great excercise for everyone and we now do it every day. Flat routes are especially important for us as my husband can not elevate his heart rate so a pathway from Clevedon to Yatton would be ideal. We wouldnt need to drive to Yatton to access the Strawberry Line there. We now have a one year old whippet too who loves his walks and the proposed route would provide a safe stretch away from cars. Although not relevant to us, a route between Clevedon and Yatton would also provide a safe commuter route for cyclists travelling to Yatton station and beyond.",1,NA,NA,NA,NA,NA,NA,87,83
I live in Yatton and I try to avoid short journeys using the car. I believe we should all do our bit to halt climate change. North Somerset Council have declared a Climate Emergency and they should support Green initiatives like this.,1,NA,NA,NA,NA,NA,NA,88,84
"A cycle / pedestrian link between Yatton and Clevedon will provide a safe sustainable transport link between the two villages and beyond. Yatton station provides a viable commuter route to the surrounding commercial centres but at present requires bus / taxi or private car journeys to,connect to Aclevedon. Cycling along the main road on dark winter evenings is extremely dangerous even for the most expert cyclists. Yatton also provides a gateway to the Mendips for cyclists many joining the Strawberry line to get down to Cheddar Gorge, providing this extension it will allow for a coastal finish and make the trai more accessible to novice and family cycling.",0,NA,NA,NA,NA,NA,NA,89,85
"I would love a safe pathway to Yatton, where my teenage daughter works, and without transport she has to cycle in for her job as buses arn't suitable for some of her shifts.  The road is extremely busy with some narrow parts of the road where lorries and buses go along making her extremely vulnerable.  An off road cycle path would help to keep her a lot safer and encourage her and myself to keep fitter and healthier.",1,NA,NA,NA,NA,NA,NA,90,86
Commute as close to road free from Wrington to clevedon,NA,NA,NA,NA,NA,NA,NA,91,87
I could cycle or walk safely to see friends on the new housing estate in Yatton.<br /><br />Also we can cycle as a family on the Strawberry Line without having to drive to Yatton.,1,NA,NA,NA,NA,NA,NA,92,88
I would like somewhere safe and pleasant to teach my grandkids to ride a bike and to encourage myself and my wife to get out and excercise.,0,NA,NA,NA,NA,NA,NA,93,89
Would be safer travelling to yatton train station. Also would be used for family bike rides in the summer.,0,NA,NA,NA,NA,NA,NA,94,90
We use to cycle on the strawberry line but found it to dangerous to take our children on the road to Yatton and stopped cycling if was a safer way we would reconsider and start again using the line,0,NA,NA,NA,NA,NA,NA,95,91
"I have two young boys aged 10 and 7, I do not feel the roads are safe enough for my children to ride on due to the volume of traffic and inconsiderate drivers. It would bring a huge lifestyle change for us to have access to a safe cycle route from our home town as there is nothing like this available in Clevedon.",1,NA,NA,NA,NA,NA,NA,96,92
My family would use the line all the time,NA,NA,NA,NA,NA,NA,NA,97,93
We need the path in Clevedon as to get to the path in Yatton means you have to cycle on busy roads not suitable for children or older people,1,NA,NA,NA,NA,NA,NA,98,94
"I used to live in Yatton, I now live in Clevedon, My Mum still lives I Yatton and we commute to Yatton regularly via car, I have 2 children a 4 year old and an 8 year old, and attempted to ride as a family to Yatton via the moors but found this to be to dangerous,  if there was a safe cycle path without cars we would use it regularly, and help save the environment less carbon footprint.",NA,NA,NA,NA,NA,NA,NA,99,95
"A traffic free route between Clevedon and Yatton giving  safe cycle connection between the two.  Good for the environment, good for mental health, safer, a chance to reduce weekend car journeys.",NA,NA,NA,NA,NA,NA,NA,100,96
"I use the strawberry line a lot ,but I havent got a car so have to cycle from Clevedon to the start of the line along the very busy & very fast main road . I find that even with a high vis jacket cars go far too close & as the speed limit is 60mph far too fast .it can be very scary. I would really welcome a safe off road route to cycle all the way to cheddar.",1,NA,NA,NA,NA,NA,NA,101,97
Is would be a vital like for people to use the free cycle path for access and pleasure.To take young families out for the with out the worry of traffic.Clevedon needs this like,0,NA,NA,NA,NA,NA,NA,102,98
"I am a member of Portishead Cycle club, part of the club rides include family ride outs, we need safe routes for beginners and family rides, sadly there are very few of these in the area. Encouraging people of all ages to get out and keep fit is essential, keeping safe during this activity is also essential. The proposed join up from yatton to clevedon would be a valuable link not only for recreation but it would enable commuters to access Yatton railway station safely.",1,NA,NA,NA,NA,NA,NA,103,99
I already use the Strawberry line as an alternative route to the other end of my village (Yatton) - much nicer than the high street with all it's traffic. I also sometimes like to visit Sandford for a pleasant 10-mile walk (and to get cider from Thatchers!) We have friends in Clevedon and think it would be nice to not only be able to walk to visit them but also to be able to visit the sea front without adding to the road traffic.,1,NA,NA,NA,NA,NA,NA,104,100
"I need a safe means of cycling to Yatton to catch the train. Cycling along the main road between Clevedon and Yatton is too dangerous so I always drive, which is not environmentally friendly.",0,NA,NA,NA,NA,NA,NA,105,101
"I live in Wrington, my disabled son is in clevedon. I visit him regularly. How wonderful it would be to be able to cycle there, keeping fit in the meantime. I'd really feel I deserved to spend some money in the fantastic cafes in clevedon when I got there! How fantastic to be able to safely cycle to the seaside.",NA,NA,NA,NA,NA,NA,NA,106,102
"It would allow a safe route to get outside exercising, promoting good health.",NA,NA,NA,NA,NA,NA,NA,107,103
We as a family living in Portishead often use the strawberry line for walks and cycling.  The extension to Clevedon brings that access closer to us and many thousands of other families who desperately need greater access to recreational areas.,0,NA,NA,NA,NA,NA,NA,108,104
"A safer route is needed to take pedestrians and cyclist away from busy roads, to allow kids to be active without the dangers of the open road. It would also benifit from tourist having a quiet safe place to take experience the county of Somerset. Its just the right think to do.",0,NA,NA,NA,NA,NA,NA,109,105
"The Strawberry Line is a wonderful resource, I use it a lot on my bike from Bristol but I would really like to be able to continue to see my friend in Clevedon, or go for a swim in the Marine Lake.",NA,NA,NA,NA,NA,NA,NA,110,106
We as a family would be able to ride out more and not need to take the car to Yatton Station to get to one of the best family friendly cycle paths around.,NA,NA,NA,NA,NA,NA,NA,111,107
"We need a cycle path between Yatton and Clevedon, as the road is always busy with cars and big lorries, and this will only get worse as more and more houses are built in and around the area, and lmany cyclists use the road also, putting themselves in great danger.",1,NA,NA,NA,NA,NA,NA,112,108
It is really good to have accessible paths for all levels of ability. A dedicated path would enable mums with prams and small children on bikes to use it.,1,NA,NA,NA,NA,NA,NA,113,109
"Connecting local towns and villages in a way that promotes healthy lifestyles can ONKY be a good hint. Being outside, sharing spaces with our nieigubours - its perfect!",1,NA,NA,NA,NA,NA,NA,114,110
"We love using the Strawberry line and like cycling to Clevedon.  However, we find it too dangerous with young children to use the roads.  An off-road link to Clevedon would be an invaluable addition and a massive benefit to all cyclists and walkers.  We are all trying to walk and cycle as much as possible but it needs to be safe for all ages.",NA,NA,NA,NA,NA,NA,NA,115,111
I am a walker and would love to see this path completed,NA,NA,NA,NA,NA,NA,NA,116,112
"I cycle regularly to yatton and beyond, I can go through Kingston Seymour or across the moors but the section from Kingston Bridge to Yatton is dangerous.<br /><br />It would be far safer to establish this vital link.",0,NA,NA,NA,NA,NA,NA,117,113
Linking Clevedon to Yatton is a good idea and something I have longed for for many years whether Ive been cycling to the station on terrible dangerous roads or organising how to get four bikes on/in the car for a family cycle ride on the strawberry line. It would make Clevedon a cycling destination and bring more people to the town plus improve the commute for many. Such a good idea.,NA,NA,NA,NA,NA,NA,NA,118,114
"I am a keen cyclist living in Clevedon. I regularly use the existing Strawberry Line, and a connection to Clevedon would be a fantastic facility. It would encourage many more people from Clevedon to get on their bikes and enjoy the Strawberry Line",0,NA,NA,NA,NA,NA,NA,119,115
My walking group regularly use the Strawberry Line and its extension to Clevedon would be of great benefit tous,0,NA,NA,NA,NA,NA,NA,120,116
A safe and fun location to take my children walking and cycling......,NA,NA,NA,NA,NA,NA,NA,121,117
"I feel it is vital that there should be safe, easy and acknowledged access to the countryside. A walking / cycle path would achieve this end and provide gentle yet vital exercise for us older folk. I am a regular at the Strawberryline cafe and I think an extension of the walkway would benefit the cafe and the cafe would be a useful facility for those on the walkway.",0,NA,NA,NA,NA,NA,NA,122,118
"There is no safe, NON-TRAFFIC route from Clevedon to Yatton for walkers and cyclists to connect to the existing Strawberry Line at Yatton Railway Station. I believe that with proper funding and wide spread publicity this venture will be well used by young and old alike for years to come.",0,NA,NA,NA,NA,NA,NA,123,119
Cycling through to Yatton station  on the b3133 is not an option for my wife and I to use  it is completely unnerving and therefore we have to use a vehicle to take our bikes through to yatton station which is the present start of the strawberry line adding to the congestion on what is a very busy road I am surprised that more people who travel this road on a regular basis in their vehicles  dont show more support for this  initiative as it would help with their journey along this busy road the huge benefit that I believe this route would bring is for families with children who would not cycle if it was not for the creation of these safe routes    may I just add that the people who.are in charge of making these  things happen if you do nothing else in your working life supporting this initiative  would be something you could be very proud of and would earn you the eternal gratitude of the cycling families and walkers that would use  this path,0,NA,NA,NA,NA,NA,NA,124,120
