text,female,older,key3,key4,key5,key6,key7,statement
"I only recently joined the GYA and wasnt able to attend the Annual Meeting this year. Im a committee member and get to see the amazing work that others are doing. Also, being a GYA member has certainly helped me become a member of our national academy.",1,1,NA,NA,NA,NA,NA,11
"If I think about the greatest lasting effect of the GYA on me as a person, excluding benefits only to my career, the most significant impact the GYA has had on me is the network of friends I have built who are passionate about improving society through the work they do and the activities they volunteer on and they way they have changed my thinking.    Bring a part of the GYA is inspirational. Sometimes it can be overwhelming as you compare yourself to the achievements of others, but generally this is inspiring!! What I have actually found is that we often judge ourselves compared to the achievements of others (in this very successful group) but when you speak to anyone, they have the same sense about you. Perhaps it is the feeling that we are bigger than our parts. That we can work together to come up with really novel interdisciplinary and truly global responses to pressing issues. The global perspective is one of the greatest benefits I have felt from these interactions with colleagues.   To give one specific story, will be the ECs response to the request from our funders to have a GYA initiative in response to the EU immigrations crisis.  In 2016 there was so much media attention on immigration of refugees of war into europe, and how europe was going to deal with this crisis. Whilst the fleeing of thousands of innocent people from war was truly a humanitarian crisis, the perspective in the media came more from this being a social crisis for the countries to which the immigrant were feeling, that they now had to deal with.  Thus, when the GYA held a meeting regarding europes response to this immigrate crisis, EC members from Africa countries brought to the table their objection to just an initiative, given the millions of refugees of war that Africa countries have been supporting for  years, with no media attention. Thier perspective was that in their countries, refugees were brought in and supported as brothers and sisters in need, not as invaders.   This discussion will remain with me forever and continues to highlight the advantage to understanding a different perspective to global issues. but more importantly, the need to ensure that Europe and America do not dominate the conversation and perspective. That we continue to draw on the perspectives from a diverse experience.",1,0,NA,NA,NA,NA,NA,12
Establishing international networking and collaborations on studying important topics about young scientists.,0,1,NA,NA,NA,NA,NA,13
"Becoming a member of GYA helped me in many different directions. The most important influence that GYA had on my professional and personal life was that is boosted my self-confidence, GREATLY! Just imagine, you are selected to be a member of a society of 200 top people from all around the world! Of course it does that!  But it was not just the selection that helped me with my confidence, but the people. In my first AGM I couldnt believe that how much faith everyone had in me, even I didnt trust myself back then to accept all these responsibilities as much as they did. I kept asking myself, how do they know that I can do this?!  GYA also helped greatly with my networking. Something that was not my strongest point. Its a safe, friendly and open environment that I feel I can easily approach everyone, get to know them and share my thoughts. I think this is one of the most important qualities of GYA that we should protect, and make sure that everyone feels the same; welcome, safe and worthy.   I feel more connected. I have found my way into interesting areas that were not my expertise by academic studies, but are now by practice.",1,0,NA,NA,NA,NA,NA,14
"I have to say that GYA actually influenced my life to a great extent. I didnt know there was a life outside academia, and GYA exposed me to a whole new mindset. The GYA family is simply the best.",1,0,NA,NA,NA,NA,NA,15
"I have no great story yet, but after less than 1 year, GYA has already influenced me in very positive ways such as increasing my engagement with science, and specialy with raising scientific impact on policy and the public. The flow of information across GYA members is impressive, and helps developping each one<U+FFFD>s career rapidly.",0,0,NA,NA,NA,NA,NA,16
Being GYA member is one the best things in my life. I got so many opportunities through GYA. And the members in GYA are amazing. They are brilliant yet very humble and humane. GYA is definitely the best platform any scientist should ask for to be a better person in career and life.,1,0,NA,NA,NA,NA,NA,17
Being GYA member is one the best things in my life. I got so many opportunities through GYA. And the members in GYA are amazing. They are brilliant yet very humble and humane. GYA is definitely the best platform any scientist should ask for to be a better person in career and life.,1,0,NA,NA,NA,NA,NA,18
Being GYA member is one the best things in my life. I got so many opportunities through GYA. And the members in GYA are amazing. They are brilliant yet very humble and humane. GYA is definitely the best platform any scientist should ask for to be a better person in career and life.,1,0,NA,NA,NA,NA,NA,19
"The GYA has allowed me to meet like-minded scientists. Even though I am not part of the GYA, I have participated in various activities with some of its members (mainly in the CILAC forum). I always felt like a bit of an oddball scientist because I do not conform to the ""traditional"" scientist model. I dont like to be on the lab all the time and I enjoy mingling in interdisciplinary circles. As I said before, the GYA introduced me to a vast network of scientists like me. This has allowed me to make new friends, expand my network and hone my ""soft skills"". Most importantly it has inspired me to pursue the establishment of a National Young Academy at home and to keep pushing for a further enhance the role of science in the public discourse and public policy.",0,0,NA,NA,NA,NA,NA,20
"The GYA has allowed me to meet like-minded scientists. Even though I am not part of the GYA, I have participated in various activities with some of its members (mainly in the CILAC forum). I always felt like a bit of an oddball scientist because I do not conform to the ""traditional"" scientist model. I dont like to be on the lab all the time and I enjoy mingling in interdisciplinary circles. As I said before, the GYA introduced me to a vast network of scientists like me. This has allowed me to make new friends, expand my network and hone my ""soft skills"". Most importantly it has inspired me to pursue the establishment of a National Young Academy at home and to keep pushing for a further enhance the role of science in the public discourse and public policy.",0,0,NA,NA,NA,NA,NA,21
"The GYA has literally changed my life. Its impact cannot be overstated. Seeing so many role models is positively inspiring. Because of the many opportunities to lead, to start initiatives, and to make a difference, I believe it has made me into a true science leader. The GYA has been very supporting in this respect by providing me with high level opportunities and at the same time a very supportive environment. My self-confidence has increased, and I have learned to function under a lot of pressure, being able to cope with all kinds of difficult circumstances, lack of sleep and time pressure.",0,1,NA,NA,NA,NA,NA,22
"The GYA has impacted immensely on my personal and career development, professional network, capability to impact positively on young scientists, collaborators and my national young academy. In one respect, my professional network has greatly grown with my membership of the GYA with enhanced latitude for collaborative research and engagement. I was recently involved in putting up a proposal for the Africa Centres of Excellence for Development Impact (ACE Impact) Project on behalf of my University. This project involves the participation of regional and international collaborators. It was not difficult getting willing and capable collaborators from Ghana, Mauritius, Senegal and Zimbabwe from my GYA connections. The good news is that the bidding was successful. On another note the GYA has over the years enhanced my skills of mentorship, science communication and diplomacy through training opportunities that have been provided over the years. This has impacted positively on my voluntary support to younger scientists, collaborators and my national young academy, especially when I served as President of the body for 2 years. GYA gatherings were always opportunities to strengthen my ideas and have insights into new ideas which were always brought back home to drive one initiative or the other in my national young academy. Through these motivations, I was able to get a grant from the US Consulate in the commercial nerve centre of my Country to organise a capacity building workshop for young-early career women scientists in my country. My national young academy, with the support of the senior academy, thereafter got an IAP grant to replicate the workshop on a larger scale for young-early career women scientists in West Africa. It turned out to be a very successful event. My involvements in working group activities, the planning and execution of the 2nd Africa Young Academies Regional Conference in Mauritius, the GloSYS Africa Project etc. have greatly sharpened by team work, leadership and collaborative engagement skills. My membership and involvements in the GYA also opened many doors of opportunities for me for personal and professional development.",0,1,NA,NA,NA,NA,NA,23
"I only recently joined the GYA and wasnt able to attend the Annual Meeting this year. Im a committee member and get to see the amazing work that others are doing. Also, being a GYA member has certainly helped me become a member of our national academy.",1,1,NA,NA,NA,NA,NA,24
Through GYA I was granted too many opportunities that I could not have had if I was not a member.,1,0,NA,NA,NA,NA,NA,25
"Since I became member of the GYA, I got respected in my institution and by colleagues. I was even nominated to be the President of a Network by I refused because as young scientist, I need to change thanks around me. With GYA, I got nominated to participate in a conference in Ghana. I meet colleagues from others countries so I learned how they are organized in their National Young Academy (NYA). When I went back I decided to create a NYA. So I contacted the secretary of the Senior Academy of Science whom is ready to help me and he is helping me to set NYA in my country. As member of the GYA, I got accepted to participate in a workshop in Beijing (China). Here, I met the executive director of the Integrated Research for Disaster Risk (IRDR) who is ready to help me set a create a research center on disaster management.  All those things are happening due to GYA.",0,0,NA,NA,NA,NA,NA,26
"I am extremely grateful for the opportunities given to me by membership in GYA. I remember vividly the moment I heard first about GYA (a national foundation who gave me an award for my PhD thesis suggested me) and was immediately fascinated by the truly global and interdisciplinary group of promising young scholars. When I became a member, my expectations were more than fulfilled: I found myself among like-minded committed young scholars who did not only do great work but were also wonderful persons. I think that the ""commitment to service"" criterium in the selection process is absolutely essential.    As one of the most positive aspects of my membership, I want to point out the friendships (across continents and disciplines) that resulted from close and professionally very fruitful collaboration within a working group where we managed to get external third party funding, organised events, and realised several publications.",0,1,NA,NA,NA,NA,NA,27
"At GYA events, I meet early career researchers from across the world and get the chance to interact with them personally. So GYA allows me to get first-hand insights into the research systems and working conditions for researchers across the globe.  For example, I met a someone from Poland and we got on well. We sat together on the day the Polish Government startet its ""reform"" of the judiciary system in Poland. To hear her reaction to it first hand and get her views on the developments in her country was really moving and helped me understand much better.",1,0,NA,NA,NA,NA,NA,28
"Frankly speaking, the most influential thing of GYA to me is the financial support (co-funding) to the AGM. My initial intentions to apply for GYA are 1) to get the glamour of being a GYA member  2) Good for CV   3) Able to go overseas to meet people (because it is hard to get a high percentage of sponsorship from the university)   4) possible research collaboration  5) of course, doing some contributions if possible since I always want to be a great scientist but I know my university work is very busy. However, after attending the first GYA, I felt great. I get to know multi-national and multi-disciplinary people. We all working together to tackle or voice out our opinions on the global issue, particularly science environment for young scientists. The most important, I learn about how members from different education system work effectively and also learn about their culture in daily life. I also find that what we are doing is very meaningful as a scientist. A scientist should not just publish as many papers as he-she can without considering the impact. Although the AGM themes usually are usually not related to my research field (which I think I cannot get any input for my research aspect), although if I attend GYA AGM, I will not have any chance to be sponsored by the university for another oversea academic conference anymore for that year, and although I had applied for a few research funding with GYA members but yet to get anyone, I still choose to attend GYA AGM every year rather than the conventional academic conference. In those conferences, friendship is not really built while in GYA AGM, we build the friendship because we work together on something voluntarily. After the second time attending AGM, I love it so much and till now I have never missed any AGM yet. In a few meeting with GYA members through Skype, I learnt that the chair controls the time very well within one hour. Also, I learnt that something looks tough can be slowly dissolved through step by step planning and  discussing of ideas. Note that, though my PhD supervisor is from the University of Cambridge, my entire education was carried out in Asia. I have never been nurtured by the western style of daring to voice out my opinion or daring to create a project to solve global issue etc. (Note: though many GYA members are from Asia, Africa and South America, they have studied in western countries) Furthermore, my English is not good. Through a few years of GYA membership, I observed and learnt this western characteristic gradually. To appreciate GYA, I involved in a few committee posts so that I make contributions as well. This year, I even accepted the challenge to be a co-lead of a working group. I have not had the courage to run for an EC post yet. The reasons are not having enough experience in this kind of organisation, as well as not enough time for my career. I am still striving to earn enough monthly salary for my family.",0,1,NA,NA,NA,NA,NA,29
"Im grateful for having had the opportunity to participate in the pre-CILAC scientific leadership training. Before this opportunity, I had given a little bit of thought to science diplomacy but very superficially. I didnt know organizations like TWAS, IAP and GYA existed.    I didnt really know what I was getting into and Im so happy I did attend both the pre-conference training and CILAC. In simple words, these opportunities had a huge impact in my life:    (1) I met incredibly inspiring colleagues from around the world that think like me, making me feel like Im not alone which is often difficult when you are on of the few STEM PhDs in a tiny Caribbean island.  (2) To my surprise, I truly networked extensively at CILAC and made some great contacts outside of the GYA group that already have shown their worth by the offer of additional opportunities.  (3) The pre-conference training group really bonded well and now we have a resource for group mentoring through brainstorming together.  (4) I have made the decision to apply to a scientific diplomacy training in 2019.  (5) I will apply to GYA in Fall 2019.  (6) I feel empowered to move through with my intention of starting a non-profit in the U.S. Virgin Islands that was originally planned for the characterization of data gaps in the Territory. However, now I will weave the mission to reflect SDGs that are applicable to our objectives.",1,0,NA,NA,NA,NA,NA,30
"Im grateful for having had the opportunity to participate in the pre-CILAC scientific leadership training. Before this opportunity, I had given a little bit of thought to science diplomacy but very superficially. I didnt know organizations like TWAS, IAP and GYA existed.    I didnt really know what I was getting into and Im so happy I did attend both the pre-conference training and CILAC. In simple words, these opportunities had a huge impact in my life:    (1) I met incredibly inspiring colleagues from around the world that think like me, making me feel like Im not alone which is often difficult when you are on of the few STEM PhDs in a tiny Caribbean island.  (2) To my surprise, I truly networked extensively at CILAC and made some great contacts outside of the GYA group that already have shown their worth by the offer of additional opportunities.  (3) The pre-conference training group really bonded well and now we have a resource for group mentoring through brainstorming together.  (4) I have made the decision to apply to a scientific diplomacy training in 2019.  (5) I will apply to GYA in Fall 2019.  (6) I feel empowered to move through with my intention of starting a non-profit in the U.S. Virgin Islands that was originally planned for the characterization of data gaps in the Territory. However, now I will weave the mission to reflect SDGs that are applicable to our objectives.",1,0,NA,NA,NA,NA,NA,31
"In a recent conference, I have personally seen how GYA is making tremendous efforts to communicate science to the civic society and contributing to spreading awareness about the UNs SDGs and also rallying for everyone to make an effort. GYA is in a perfect position, consisting of scientists from all over the world whom some Ive met to do amazing things in all sorts of fields which will certainly benefit humanity, society and the environment. Without the support of the GYA, I would not have had the opportunity to meet some of the members of the GYA and attended both the leadership workshop and conference. The leadership workshop was an eye-opening experience and was certainly instrumental in providing some bearings for me to navigate my next path in life as a scientist. I feel extremely inspired and motivated to do more and see how I can contribute to my country, science and the world as a whole.",1,0,NA,NA,NA,NA,NA,32
"The workshop organised by Sasha Kagansky in Edinburgh on artistic representation of science was most insightful and a formative experience that taught me that there is always science and arts, and always arts in science. Since then, I no longer feel comfortable being tagged as ""scientist"", which seems to narrow.    In particular, we learned that an ""artistic choice"" is required to convert scientific measurements into sound, but it is a choice that scientists make all the time when creating ""statistics"" of raw data. It is not a straightforward deterministic process.     This has added to me arguing for a holistic approach, viewing science as a humanity rather than restricting the human endeavour to ""disciplines"".    This experience might prove useful in further developing our new Centre for Exoplanet Science towards a non-disciplinary approach to both research and teaching across the sciences and humanities.",0,1,NA,NA,NA,NA,NA,33
"The workshop organised by Sasha Kagansky in Edinburgh on artistic representation of science was most insightful and a formative experience that taught me that there is always science and arts, and always arts in science. Since then, I no longer feel comfortable being tagged as ""scientist"", which seems to narrow.    In particular, we learned that an ""artistic choice"" is required to convert scientific measurements into sound, but it is a choice that scientists make all the time when creating ""statistics"" of raw data. It is not a straightforward deterministic process.     This has added to me arguing for a holistic approach, viewing science as a humanity rather than restricting the human endeavour to ""disciplines"".    This experience might prove useful in further developing our new Centre for Exoplanet Science towards a non-disciplinary approach to both research and teaching across the sciences and humanities.",0,1,NA,NA,NA,NA,NA,34
"This is the speech I gave at the AGM in Eindhoven, which describes some of my story (at the bottom is a link to a related blogpost as well): 

The Global Young Academy has changed my life. And I don<U+FFFD>t mean the 14,003 emails that passed through my inbox in the past two years as of this morning. Those changed my <U+FFFD>daily<U+FFFD> life. 

No I mean it: the GYA has changed my life, my life course. 

Three weeks ago I was in South-Africa to help with the second edition of the Africa Science Leadership Program. It<U+FFFD>s a program to build leadership capacity in Africa and to shape the science system. The fellows came from around the continent. Angola, Egypt, Kenia, Nigeria, Mauritius. Many of them have big plans. A meteorite scientist from Morocco wants to set up an African Space Agency. You can<U+FFFD>t say that that<U+FFFD>s not a vision. 

It was not the first time I was in South-Africa or with the ASLP, but this time the conversations I had, they caused a whirlwind in my head. They made me realize that I need to change research direction, focus more on big problems such as the current migration crisis and the wellbeing of those people who are on the move. I<U+FFFD>m a psychologist and I work on how people traumatic experiences, especially young people. But I have done that mostly in highly resourced areas. There is still work to do there, but these are marginal improvements in comparison. So I am changing direction.  

My shift in direction is credit to the GYA. This organization does make change happen, starting on a very personal level.

See also this related blogpost: https:--trauma-recovery.net-2016-05-06-a-tornado-in-my-head-  and Tolus article in Nature regarding researchers changing paths. 

Epilogue: in the past few years, an all very much related to the GYA, I have conducted several projects related to the topic of refugees and migration. With the efforts of others, this has culminated in the GYAs mentoring program for refugee scholars (and related activities), a documentary in which the GYA features, an academic symposium on integration of refugees and migrants and a forthcoming interdisciplinary edited volume ""Responsibility for Refugee and Migrant Integration"" with Jan-Christoph Heilinger and Karly Kehoe. In all these activities, scholars with a refugee background have been actively involved and vocal about what they find important.",1,0,NA,NA,NA,NA,NA,35
"GYA has opened up a lot of opportunities for me. These opportunities brought me to many places, and allowed me to experience diverse cultures and connect with varied individuals, but more importantly, gave me an opportunity to learn new things, enrich my skills, discover more of my talents, and think beyond my own research field. Being part of GYA means working in multi-disciplinary, multi-cultural, highly international projects. These enriching experiences would not be possible if I just concentrated on my own research field. This I believe is the most important influence GYA had on my own personal life and career.",0,1,NA,NA,NA,NA,NA,36
"The GYA has been very helpful in my work as Chair of a National Young Academy. I have been in constant touch with various members of the GYA who have been an important resource in helping me to build the organizational capacity as well as increase societal impact of my Young Academy. GYA members have been a source a great ideas and guidance so far. They have also helped to connect me, personally, to important opportunities for scientific and leadership development.",1,0,NA,NA,NA,NA,NA,37
"One of the main outcomes from my involvement in the GYA was broadening my horizons as a scientist. It was incredibly motivating to meet scientists from developing countries, to understand the challenges they face, and to understand how science can be a unifying framework for change. I maintain many friendships from my time with the GYA and these have also been useful professionally. I recall Bernard Slippers visiting me in Cambridge when his university was looking to design a new institute, and he was able to meet with several senior university officials here to receive advice and to have discussions, interactions that would not have been possible without our prior engagement through the GYA.     I also sit on several committees at Cambridge that look at admission and funding for undergraduate and postgraduate students. I have found that the understanding I have developed of scientific education around the world through my interactions at the GYA has been enormously helpful in this role.",0,1,NA,NA,NA,NA,NA,38
"My involvement in the GloSYS-ASEAN study was my first experience working concretely together with social scientists. It was most insightful to learn some basics about survey design and analysis and potential pitfalls, with the take-home message that there are lots of non-trivial issues and it needs specific expertise for doing surveys properly.     In fact, this experience has been very helpful in the context of increasing demand to demonstrate ""impact"" of public engagement activities, which frequently leads to some feedback forms being used. I now understand that many of them are pretty much pointless and do not serve their goals.",0,1,NA,NA,NA,NA,NA,39
"If I think about the greatest lasting effect of the GYA on me as a person, excluding benefits only to my career, the most significant impact the GYA has had on me is the network of friends I have built who are passionate about improving society through the work they do and the activities they volunteer on and they way they have changed my thinking.    Bring a part of the GYA is inspirational. Sometimes it can be overwhelming as you compare yourself to the achievements of others, but generally this is inspiring!! What I have actually found is that we often judge ourselves compared to the achievements of others (in this very successful group) but when you speak to anyone, they have the same sense about you. Perhaps it is the feeling that we are bigger than our parts. That we can work together to come up with really novel interdisciplinary and truly global responses to pressing issues. The global perspective is one of the greatest benefits I have felt from these interactions with colleagues.   To give one specific story, will be the ECs response to the request from our funders to have a GYA initiative in response to the EU immigrations crisis.  In 2016 there was so much media attention on immigration of refugees of war into europe, and how europe was going to deal with this crisis. Whilst the fleeing of thousands of innocent people from war was truly a humanitarian crisis, the perspective in the media came more from this being a social crisis for the countries to which the immigrant were feeling, that they now had to deal with.  Thus, when the GYA held a meeting regarding europes response to this immigrate crisis, EC members from Africa countries brought to the table their objection to just an initiative, given the millions of refugees of war that Africa countries have been supporting for  years, with no media attention. Thier perspective was that in their countries, refugees were brought in and supported as brothers and sisters in need, not as invaders.   This discussion will remain with me forever and continues to highlight the advantage to understanding a different perspective to global issues. but more importantly, the need to ensure that Europe and America do not dominate the conversation and perspective. That we continue to draw on the perspectives from a diverse experience.",1,0,NA,NA,NA,NA,NA,40
"Im grateful for having had the opportunity to participate in the pre-CILAC scientific leadership training. Before this opportunity, I had given a little bit of thought to science diplomacy but very superficially. I didnt know organizations like TWAS, IAP and GYA existed.    I didnt really know what I was getting into and Im so happy I did attend both the pre-conference training and CILAC. In simple words, these opportunities had a huge impact in my life:    (1) I met incredibly inspiring colleagues from around the world that think like me, making me feel like Im not alone which is often difficult when you are on of the few STEM PhDs in a tiny Caribbean island.  (2) To my surprise, I truly networked extensively at CILAC and made some great contacts outside of the GYA group that already have shown their worth by the offer of additional opportunities.  (3) The pre-conference training group really bonded well and now we have a resource for group mentoring through brainstorming together.  (4) I have made the decision to apply to a scientific diplomacy training in 2019.  (5) I will apply to GYA in Fall 2019.  (6) I feel empowered to move through with my intention of starting a non-profit in the U.S. Virgin Islands that was originally planned for the characterization of data gaps in the Territory. However, now I will weave the mission to reflect SDGs that are applicable to our objectives.",1,0,NA,NA,NA,NA,NA,41
"In a recent conference, I have personally seen how GYA is making tremendous efforts to communicate science to the civic society and contributing to spreading awareness about the UNs SDGs and also rallying for everyone to make an effort. GYA is in a perfect position, consisting of scientists from all over the world whom some Ive met to do amazing things in all sorts of fields which will certainly benefit humanity, society and the environment. Without the support of the GYA, I would not have had the opportunity to meet some of the members of the GYA and attended both the leadership workshop and conference. The leadership workshop was an eye-opening experience and was certainly instrumental in providing some bearings for me to navigate my next path in life as a scientist. I feel extremely inspired and motivated to do more and see how I can contribute to my country, science and the world as a whole.",1,0,NA,NA,NA,NA,NA,42
"My first AGM this year (2018) has been a stimulating event, both, personally and scientifically. GYA members who I meet between being invited to join the GYA and my first AGM told me how much they enjoyed the AGM atmosphere. However, I wondered what might it be that will make an AGM special for me. Looking back, there were three main aspects, I would like to summarized here, that made my AGM special and different from other conferences:     - The AGM provides GYA members with a longed for and needed opportunity to come and work together in person. This helps create a network and foundation for later long-distance work, but, moreover, helps to find common values and to identify shared ideas that can guide member activities throughout the year.    - The AGM combines an annual meeting (needed for organisational discussions or working group meetings) and a interdisciplinary scientific conference. Everything happens in a multidisciplinary and multicultural space. Attendees think and talk about familiar and new ideas, about how to apply familiar ideas to new areas, and explore the scope for new cooperation across disciplines, countries and cultures. There is not enough time to follow-up on all stimulating input, and impulses from the AGM last beyond the meeting.    - The AGM helps learning by living what it means that the GYA is a member driven organisation, the opportunities and challenges that come with it. It is a place that allows to experience the spirit of the GYA and to learn that it is okay to say, I do not know yet know but would learn how to be an active part of the GYA. Part of this happens because ideas for engagement just start develop as new, current and past members meet and I attended my first WG meetings.    (Question 14.-17. left open on purpose as too early to assess)",0,1,NA,NA,NA,NA,NA,43
"At GYA events, I meet early career researchers from across the world and get the chance to interact with them personally. So GYA allows me to get first-hand insights into the research systems and working conditions for researchers across the globe.  For example, I met a someone from Poland and we got on well. We sat together on the day the Polish Government startet its ""reform"" of the judiciary system in Poland. To hear her reaction to it first hand and get her views on the developments in her country was really moving and helped me understand much better.",1,0,NA,NA,NA,NA,NA,44
